Date,CO2
2023-02-15T10:05:30Z,23832
2023-02-15T10:06:00Z,23712
2023-02-15T10:06:30Z,23598
2023-02-15T10:07:00Z,23430
2023-02-15T10:07:30Z,23340
2023-02-15T10:08:00Z,23316
2023-02-15T10:08:30Z,23310
2023-02-15T10:09:00Z,23316
2023-02-15T10:09:30Z,23274
2023-02-15T10:10:00Z,23244
2023-02-15T10:10:30Z,23172
2023-02-15T10:11:00Z,23154
2023-02-15T10:11:30Z,23148
2023-02-15T10:12:00Z,23160
2023-02-15T10:12:30Z,23136
2023-02-15T10:13:00Z,23088
2023-02-15T10:13:30Z,23082
2023-02-15T10:14:00Z,23076
2023-02-15T10:14:30Z,23040
2023-02-15T10:15:00Z,23022
2023-02-15T10:15:30Z,22998
2023-02-15T10:16:00Z,22992
2023-02-15T10:16:30Z,22980
2023-02-15T10:17:00Z,22956
2023-02-15T10:17:30Z,22944
2023-02-15T10:18:00Z,22932
2023-02-15T10:18:30Z,22860
2023-02-15T10:19:00Z,22800
2023-02-15T10:19:30Z,22734
2023-02-15T10:20:00Z,22692
2023-02-15T10:20:30Z,22668
2023-02-15T10:21:00Z,22662
2023-02-15T10:21:30Z,22650
2023-02-15T10:22:00Z,22602
2023-02-15T10:22:30Z,22596
2023-02-15T10:23:00Z,22620
2023-02-15T10:23:30Z,22644
2023-02-15T10:24:00Z,22656
2023-02-15T10:24:30Z,22620
2023-02-15T10:25:00Z,22632
2023-02-15T10:25:30Z,22590
2023-02-15T10:26:00Z,22506
2023-02-15T10:26:30Z,22434
2023-02-15T10:27:00Z,22416
2023-02-15T10:27:30Z,22410
2023-02-15T10:28:00Z,22368
2023-02-15T10:28:30Z,22272
2023-02-15T10:29:00Z,22248
2023-02-15T10:29:30Z,22212
2023-02-15T10:30:00Z,22194
2023-02-15T10:30:30Z,22194
2023-02-15T10:31:00Z,22176
2023-02-15T10:31:30Z,22080
