Date,CO2
2023-02-15T10:38:00Z,18936
2023-02-15T10:38:30Z,18924
2023-02-15T10:39:00Z,18858
2023-02-15T10:39:30Z,18864
2023-02-15T10:40:00Z,18816
2023-02-15T10:40:30Z,18810
2023-02-15T10:41:00Z,18798
2023-02-15T10:41:30Z,18792
2023-02-15T10:42:00Z,18786
2023-02-15T10:42:30Z,18774
2023-02-15T10:43:00Z,18726
2023-02-15T10:43:30Z,18630
2023-02-15T10:44:00Z,18612
2023-02-15T10:44:30Z,18576
2023-02-15T10:45:00Z,18540
2023-02-15T10:45:30Z,18528
2023-02-15T10:46:00Z,18504
2023-02-15T10:46:30Z,18492
2023-02-15T10:47:00Z,18468
2023-02-15T10:47:30Z,18462
2023-02-15T10:48:00Z,18450
2023-02-15T10:48:30Z,18414
