Date,CO2
2023-03-01T08:54:00Z,19632
2023-03-01T08:54:30Z,19542
2023-03-01T08:55:00Z,19500
2023-03-01T08:55:30Z,19356
2023-03-01T08:56:00Z,19248
2023-03-01T08:56:30Z,19170
2023-03-01T08:57:00Z,19056
2023-03-01T08:57:30Z,18978
2023-03-01T08:58:00Z,18960
2023-03-01T08:58:30Z,18906
2023-03-01T08:59:00Z,18888
2023-03-01T08:59:30Z,18828
2023-03-01T09:00:00Z,18780
2023-03-01T09:00:30Z,18738
2023-03-01T09:01:00Z,18690
2023-03-01T09:01:30Z,18660
2023-03-01T09:02:00Z,18612
2023-03-01T09:02:30Z,18552
2023-03-01T09:03:00Z,18516
