Date,CO2
2023-03-01T09:13:00Z,19032
2023-03-01T09:13:30Z,18990
2023-03-01T09:14:00Z,18948
2023-03-01T09:14:30Z,18906
2023-03-01T09:15:00Z,18846
2023-03-01T09:15:30Z,18738
2023-03-01T09:16:00Z,18684
2023-03-01T09:16:30Z,18594
2023-03-01T09:17:00Z,18480
2023-03-01T09:17:30Z,18396
2023-03-01T09:18:00Z,18348
2023-03-01T09:18:30Z,18288
2023-03-01T09:19:00Z,18210
2023-03-01T09:19:30Z,18162
2023-03-01T09:20:00Z,18156
2023-03-01T09:20:30Z,18120
2023-03-01T09:21:00Z,18084
2023-03-01T09:21:30Z,18030
2023-03-01T09:22:00Z,17874
2023-03-01T09:22:30Z,17718
2023-03-01T09:23:00Z,17466
2023-03-01T09:23:30Z,17298
2023-03-01T09:24:00Z,17178
2023-03-01T09:24:30Z,16944
