Date,CO2
2023-01-25T09:18:00Z,19104
2023-01-25T09:18:30Z,19074
2023-01-25T09:19:00Z,19068
2023-01-25T09:19:30Z,19038
2023-01-25T09:20:00Z,19020
2023-01-25T09:20:30Z,18936
2023-01-25T09:21:00Z,18930
2023-01-25T09:21:30Z,18912
2023-01-25T09:22:00Z,18840
2023-01-25T09:22:30Z,18810
2023-01-25T09:23:00Z,18774
2023-01-25T09:23:30Z,18738
2023-01-25T09:24:00Z,18702
2023-01-25T09:24:30Z,18684
2023-01-25T09:25:00Z,18648
2023-01-25T09:25:30Z,18582
2023-01-25T09:26:00Z,18534
2023-01-25T09:26:30Z,18432
2023-01-25T09:27:00Z,18426
2023-01-25T09:27:30Z,18402
2023-01-25T09:28:00Z,18366
2023-01-25T09:28:30Z,18294
2023-01-25T09:29:00Z,18318
2023-01-25T09:29:30Z,18300
2023-01-25T09:30:00Z,18300
2023-01-25T09:30:30Z,18282
