Date,CO2
2022-11-28T08:49:00Z,18930
2022-11-28T08:49:30Z,18888
2022-11-28T08:50:00Z,18666
2022-11-28T08:50:30Z,18594
2022-11-28T08:51:00Z,18570
2022-11-28T08:51:30Z,18510
2022-11-28T08:52:00Z,18444
2022-11-28T08:52:30Z,18006
2022-11-28T08:53:00Z,17760
2022-11-28T08:53:30Z,17748
2022-11-28T08:54:00Z,17742
2022-11-28T08:54:30Z,17748
2022-11-28T08:55:00Z,17658
2022-11-28T08:55:30Z,17610
2022-11-28T08:56:00Z,17604
2022-11-28T08:56:30Z,17466
2022-11-28T08:57:00Z,17430
2022-11-28T08:57:30Z,17394
2022-11-28T08:58:00Z,17208
2022-11-28T08:58:30Z,17094
2022-11-28T08:59:00Z,16746
2022-11-28T08:59:30Z,16134
2022-11-28T09:00:00Z,15882
2022-11-28T09:00:30Z,15840
