"TOA5","Ichetucknee","CR1000X","22891","CR1000X.Std.04.02","CPU:Ichetuckneehourly_03012023.CR1X","6659","Test"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C","CO2","cDOM"
"TS","RN","Volts","Deg C","ppm","ppbQS"
"","","Min","Smp","Smp","Smp"
"2023-03-01 13:00:00",0,13.46,29.39,31.93006,9.29288
"2023-03-01 14:00:00",1,13.21,29.56,565.4927,9.512369
"2023-03-01 15:00:00",2,12.93,29.67,507.4811,9.527496
"2023-03-01 16:00:00",3,12.91,28.99,469.6426,9.522971
"2023-03-01 17:00:00",4,12.91,28.54,436.7718,9.543889
"2023-03-01 18:00:00",5,12.88,27.7,416.7078,9.483577
"2023-03-01 19:00:00",6,12.87,26.08,406.5562,10.16586
"2023-03-01 20:00:00",7,12.86,24.67,393.9596,9.757406
"2023-03-01 21:00:00",8,12.84,23.41,391.3746,9.917586
"2023-03-01 22:00:00",9,12.83,22.43,396.4528,10.00485
"2023-03-01 23:00:00",10,12.82,21.63,409.1276,10.0451
"2023-03-02 00:00:00",11,12.8,20.99,429.3027,10.28079
"2023-03-02 01:00:00",12,12.79,20.52,454.5204,10.25978
"2023-03-02 02:00:00",13,12.78,19.97,487.3236,10.4613
"2023-03-02 03:00:00",14,12.77,19.73,520.0854,10.60804
"2023-03-02 04:00:00",15,12.75,19.67,555.3953,10.56679
"2023-03-02 05:00:00",16,12.75,19.82,590.7802,10.33151
"2023-03-02 06:00:00",17,12.73,19.91,620.9736,10.7375
"2023-03-02 07:00:00",18,12.74,19.6,646.1999,10.4172
"2023-03-02 08:00:00",19,12.79,19.64,666.377,8.690419
"2023-03-02 09:00:00",20,13.3,21.23,676.3737,10.05991
"2023-03-02 10:00:00",21,13.52,26.14,673.8785,9.661046
"2023-03-02 11:00:00",22,13.44,28.67,656.322,8.804199
"2023-03-02 12:00:00",23,13.53,30.07,623.4323,7.830551
"2023-03-02 13:00:00",24,13.3,31.05,575.5328,7.925868
"2023-03-02 14:00:00",25,13.19,31.45,520.0637,7.252303
"2023-03-02 15:00:00",26,13.04,30.57,469.6816,7.33744
"2023-03-02 16:00:00",27,12.97,29.9,424.2584,6.803819
"2023-03-02 17:00:00",28,12.93,29.51,386.3469,7.21416
"2023-03-02 18:00:00",29,12.87,28.39,358.5993,6.549842
"2023-03-02 19:00:00",30,12.83,26.71,341.0332,7.221194
"2023-03-02 20:00:00",31,12.79,25.02,335.9325,7.651064
