"Plot Title: AM_DO_07282024"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21446089, SEN S/N: 21446089)","Temp, °F (LGR S/N: 21446089, SEN S/N: 21446089)"
1,12/30/23 02:00:00 PM,3.01,61.27
2,12/30/23 03:00:00 PM,2.84,61.38
3,12/30/23 04:00:00 PM,3.92,61.38
4,12/30/23 05:00:00 PM,3.21,61.38
5,12/30/23 06:00:00 PM,2.01,61.45
6,12/30/23 07:00:00 PM,1.11,61.56
7,12/30/23 08:00:00 PM,0.91,61.59
8,12/30/23 09:00:00 PM,1.24,61.66
9,12/30/23 10:00:00 PM,0.59,61.74
10,12/30/23 11:00:00 PM,0.40,61.74
11,12/31/23 12:00:00 AM,0.96,61.66
12,12/31/23 01:00:00 AM,0.67,61.70
13,12/31/23 02:00:00 AM,0.83,61.70
14,12/31/23 03:00:00 AM,2.42,61.34
15,12/31/23 04:00:00 AM,0.51,61.63
16,12/31/23 05:00:00 AM,1.21,61.59
17,12/31/23 06:00:00 AM,1.32,61.56
18,12/31/23 07:00:00 AM,1.07,61.56
19,12/31/23 08:00:00 AM,0.74,61.52
20,12/31/23 09:00:00 AM,0.56,61.52
21,12/31/23 10:00:00 AM,1.17,61.56
22,12/31/23 11:00:00 AM,1.79,61.52
23,12/31/23 12:00:00 PM,2.08,61.48
24,12/31/23 01:00:00 PM,2.90,61.27
25,12/31/23 02:00:00 PM,3.81,60.19
26,12/31/23 03:00:00 PM,4.15,59.86
27,12/31/23 04:00:00 PM,4.06,59.54
28,12/31/23 05:00:00 PM,3.72,59.43
29,12/31/23 06:00:00 PM,4.30,59.43
30,12/31/23 07:00:00 PM,4.18,59.47
31,12/31/23 08:00:00 PM,4.34,59.29
32,12/31/23 09:00:00 PM,4.38,59.22
33,12/31/23 10:00:00 PM,4.39,59.07
34,12/31/23 11:00:00 PM,5.05,58.96
35,01/01/24 12:00:00 AM,4.55,58.89
36,01/01/24 01:00:00 AM,4.75,58.86
37,01/01/24 02:00:00 AM,5.06,58.78
38,01/01/24 03:00:00 AM,5.14,58.64
39,01/01/24 04:00:00 AM,5.52,58.57
40,01/01/24 05:00:00 AM,4.99,58.46
41,01/01/24 06:00:00 AM,5.28,58.46
42,01/01/24 07:00:00 AM,4.93,58.39
43,01/01/24 08:00:00 AM,5.25,58.32
44,01/01/24 09:00:00 AM,5.52,58.24
45,01/01/24 10:00:00 AM,5.15,58.24
46,01/01/24 11:00:00 AM,5.89,58.24
47,01/01/24 12:00:00 PM,5.98,58.17
48,01/01/24 01:00:00 PM,5.87,58.17
49,01/01/24 02:00:00 PM,5.92,58.14
50,01/01/24 03:00:00 PM,5.77,58.17
51,01/01/24 04:00:00 PM,5.05,58.21
52,01/01/24 05:00:00 PM,5.48,58.21
53,01/01/24 06:00:00 PM,5.67,58.21
54,01/01/24 07:00:00 PM,4.93,58.21
55,01/01/24 08:00:00 PM,3.59,58.21
56,01/01/24 09:00:00 PM,4.89,58.21
57,01/01/24 10:00:00 PM,4.56,58.24
58,01/01/24 11:00:00 PM,5.90,58.17
59,01/02/24 12:00:00 AM,6.11,58.10
60,01/02/24 01:00:00 AM,5.81,58.06
61,01/02/24 02:00:00 AM,6.06,57.99
62,01/02/24 03:00:00 AM,6.26,57.96
63,01/02/24 04:00:00 AM,6.06,57.88
64,01/02/24 05:00:00 AM,5.93,57.85
65,01/02/24 06:00:00 AM,6.15,57.74
66,01/02/24 07:00:00 AM,6.14,57.63
67,01/02/24 08:00:00 AM,6.14,57.63
68,01/02/24 09:00:00 AM,6.31,57.60
69,01/02/24 10:00:00 AM,6.19,57.49
70,01/02/24 11:00:00 AM,6.44,57.42
71,01/02/24 12:00:00 PM,6.21,57.42
72,01/02/24 01:00:00 PM,6.32,57.45
73,01/02/24 02:00:00 PM,5.64,57.49
74,01/02/24 03:00:00 PM,4.76,57.56
75,01/02/24 04:00:00 PM,3.79,57.63
76,01/02/24 05:00:00 PM,3.24,57.67
77,01/02/24 06:00:00 PM,3.82,57.70
78,01/02/24 07:00:00 PM,2.26,57.74
79,01/02/24 08:00:00 PM,0.91,57.63
80,01/02/24 09:00:00 PM,0.77,57.60
81,01/02/24 10:00:00 PM,0.83,57.56
82,01/02/24 11:00:00 PM,0.77,57.52
83,01/03/24 12:00:00 AM,2.29,57.42
84,01/03/24 01:00:00 AM,1.39,57.34
85,01/03/24 02:00:00 AM,1.20,57.34
86,01/03/24 03:00:00 AM,0.79,57.27
87,01/03/24 04:00:00 AM,5.60,57.24
88,01/03/24 05:00:00 AM,4.63,57.13
89,01/03/24 06:00:00 AM,3.79,57.09
90,01/03/24 07:00:00 AM,3.89,56.98
91,01/03/24 08:00:00 AM,3.14,56.95
92,01/03/24 09:00:00 AM,4.42,56.95
93,01/03/24 10:00:00 AM,3.16,56.91
94,01/03/24 11:00:00 AM,3.16,56.91
95,01/03/24 12:00:00 PM,4.67,56.95
96,01/03/24 01:00:00 PM,3.47,56.98
97,01/03/24 02:00:00 PM,3.62,56.98
98,01/03/24 03:00:00 PM,4.32,57.02
99,01/03/24 04:00:00 PM,3.98,57.06
100,01/03/24 05:00:00 PM,3.73,57.09
101,01/03/24 06:00:00 PM,3.74,57.09
102,01/03/24 07:00:00 PM,2.01,57.09
103,01/03/24 08:00:00 PM,2.10,57.06
104,01/03/24 09:00:00 PM,2.95,57.09
105,01/03/24 10:00:00 PM,3.36,57.09
106,01/03/24 11:00:00 PM,3.02,57.09
107,01/04/24 12:00:00 AM,3.22,57.06
108,01/04/24 01:00:00 AM,2.69,57.06
109,01/04/24 02:00:00 AM,3.74,57.02
110,01/04/24 03:00:00 AM,2.01,56.95
111,01/04/24 04:00:00 AM,4.66,56.95
112,01/04/24 05:00:00 AM,5.13,56.95
113,01/04/24 06:00:00 AM,1.87,56.91
114,01/04/24 07:00:00 AM,3.27,56.84
115,01/04/24 08:00:00 AM,2.93,56.84
116,01/04/24 09:00:00 AM,3.67,56.80
117,01/04/24 10:00:00 AM,3.30,56.84
118,01/04/24 11:00:00 AM,2.40,56.77
119,01/04/24 12:00:00 PM,3.36,56.80
120,01/04/24 01:00:00 PM,4.11,56.88
121,01/04/24 02:00:00 PM,3.98,56.91
122,01/04/24 03:00:00 PM,3.86,56.95
123,01/04/24 04:00:00 PM,3.36,57.02
124,01/04/24 05:00:00 PM,2.84,57.06
125,01/04/24 06:00:00 PM,2.64,57.09
126,01/04/24 07:00:00 PM,2.21,57.13
127,01/04/24 08:00:00 PM,1.22,56.98
128,01/04/24 09:00:00 PM,0.91,56.91
129,01/04/24 10:00:00 PM,1.05,56.84
130,01/04/24 11:00:00 PM,0.61,56.77
131,01/05/24 12:00:00 AM,0.83,56.70
132,01/05/24 01:00:00 AM,0.67,56.59
133,01/05/24 02:00:00 AM,1.01,56.55
134,01/05/24 03:00:00 AM,1.92,56.48
135,01/05/24 04:00:00 AM,1.54,56.44
136,01/05/24 05:00:00 AM,2.78,56.44
137,01/05/24 06:00:00 AM,1.81,56.37
138,01/05/24 07:00:00 AM,1.38,56.30
139,01/05/24 08:00:00 AM,1.45,56.26
140,01/05/24 09:00:00 AM,1.50,56.23
141,01/05/24 10:00:00 AM,3.55,56.23
142,01/05/24 11:00:00 AM,2.84,56.23
143,01/05/24 12:00:00 PM,3.53,56.26
144,01/05/24 01:00:00 PM,3.27,56.34
145,01/05/24 02:00:00 PM,4.16,56.37
146,01/05/24 03:00:00 PM,4.16,56.44
147,01/05/24 04:00:00 PM,4.47,56.52
148,01/05/24 05:00:00 PM,3.57,56.55
149,01/05/24 06:00:00 PM,3.54,56.62
150,01/05/24 07:00:00 PM,3.32,56.70
151,01/05/24 08:00:00 PM,2.91,56.73
152,01/05/24 09:00:00 PM,2.45,56.77
153,01/05/24 10:00:00 PM,1.71,56.73
154,01/05/24 11:00:00 PM,1.02,56.70
155,01/06/24 12:00:00 AM,0.66,56.62
156,01/06/24 01:00:00 AM,1.02,56.55
157,01/06/24 02:00:00 AM,1.33,56.55
158,01/06/24 03:00:00 AM,1.54,56.55
159,01/06/24 04:00:00 AM,1.26,56.48
160,01/06/24 05:00:00 AM,2.00,56.44
161,01/06/24 06:00:00 AM,2.76,56.52
162,01/06/24 07:00:00 AM,4.16,56.48
163,01/06/24 08:00:00 AM,5.83,56.52
164,01/06/24 09:00:00 AM,5.19,56.52
165,01/06/24 10:00:00 AM,2.27,56.48
166,01/06/24 11:00:00 AM,3.72,56.48
167,01/06/24 12:00:00 PM,3.46,56.52
168,01/06/24 01:00:00 PM,4.39,56.55
169,01/06/24 02:00:00 PM,3.99,56.59
170,01/06/24 03:00:00 PM,3.57,56.62
171,01/06/24 04:00:00 PM,3.79,56.66
172,01/06/24 05:00:00 PM,3.08,56.70
173,01/06/24 06:00:00 PM,2.87,56.73
174,01/06/24 07:00:00 PM,2.37,56.77
175,01/06/24 08:00:00 PM,2.29,56.84
176,01/06/24 09:00:00 PM,2.25,56.88
177,01/06/24 10:00:00 PM,2.47,56.95
178,01/06/24 11:00:00 PM,2.40,56.98
179,01/07/24 12:00:00 AM,2.49,57.02
180,01/07/24 01:00:00 AM,2.53,57.06
181,01/07/24 02:00:00 AM,2.34,57.09
182,01/07/24 03:00:00 AM,1.85,57.09
183,01/07/24 04:00:00 AM,1.12,57.06
184,01/07/24 05:00:00 AM,1.21,57.02
185,01/07/24 06:00:00 AM,1.25,57.02
186,01/07/24 07:00:00 AM,1.02,56.98
187,01/07/24 08:00:00 AM,3.12,56.98
188,01/07/24 09:00:00 AM,2.38,56.95
189,01/07/24 10:00:00 AM,1.43,56.91
190,01/07/24 11:00:00 AM,1.93,56.95
191,01/07/24 12:00:00 PM,1.67,56.95
192,01/07/24 01:00:00 PM,2.19,56.98
193,01/07/24 02:00:00 PM,2.55,57.02
194,01/07/24 03:00:00 PM,2.48,57.02
195,01/07/24 04:00:00 PM,2.29,57.06
196,01/07/24 05:00:00 PM,1.84,57.09
197,01/07/24 06:00:00 PM,1.20,57.09
198,01/07/24 07:00:00 PM,1.08,57.09
199,01/07/24 08:00:00 PM,0.61,57.02
200,01/07/24 09:00:00 PM,0.68,57.02
201,01/07/24 10:00:00 PM,0.92,56.95
202,01/07/24 11:00:00 PM,0.82,56.91
203,01/08/24 12:00:00 AM,1.34,56.88
204,01/08/24 01:00:00 AM,1.43,56.91
205,01/08/24 02:00:00 AM,1.26,56.88
206,01/08/24 03:00:00 AM,1.55,56.80
