Date,DO,Temp
2023-04-12 14:00,7.83,72.25
2023-04-12 15:00,7.48,71.96
2023-04-12 16:00,4.35,71.78
2023-04-12 17:00,0.47,71.64
2023-04-12 18:00,-0.17,71.35
2023-04-12 19:00,-0.21,71.06
2023-04-12 20:00,-0.21,70.81
2023-04-12 21:00,-0.21,70.52
2023-04-12 22:00,-0.21,70.3
2023-04-12 23:00,-0.21,70.2
2023-04-13 00:00,-0.21,70.2
2023-04-13 01:00,-0.21,70.2
2023-04-13 02:00,-0.21,70.2
2023-04-13 03:00,-0.21,70.2
2023-04-13 04:00,-0.21,70.23
2023-04-13 05:00,-0.21,70.27
2023-04-13 06:00,-0.21,70.27
2023-04-13 07:00,-0.21,70.3
2023-04-13 08:00,-0.21,70.38
2023-04-13 09:00,-0.21,70.56
2023-04-13 10:00,-0.21,70.88
2023-04-13 11:00,-0.21,71.31
2023-04-13 12:00,-0.21,71.67
2023-04-13 13:00,-0.21,71.89
2023-04-13 14:00,-0.21,71.82
2023-04-13 15:00,-0.21,71.96
2023-04-13 16:00,-0.21,72.64
2023-04-13 17:00,-0.21,72.86
2023-04-13 18:00,-0.21,72.46
2023-04-13 19:00,-0.21,72.18
2023-04-13 20:00,-0.21,71.67
2023-04-13 21:00,-0.21,71.38
2023-04-13 22:00,-0.21,70.99
2023-04-13 23:00,-0.21,70.66
2023-04-14 00:00,-0.21,70.41
2023-04-14 01:00,-0.21,70.27
2023-04-14 02:00,-0.21,70.09
2023-04-14 03:00,-0.21,69.94
2023-04-14 04:00,-0.21,69.87
2023-04-14 05:00,-0.21,69.8
2023-04-14 06:00,-0.21,69.69
2023-04-14 07:00,-0.21,69.58
2023-04-14 08:00,-0.21,69.48
2023-04-14 09:00,-0.21,69.58
2023-04-14 10:00,-0.21,69.91
2023-04-14 11:00,-0.21,70.59
2023-04-14 12:00,0.23,71.35
2023-04-14 13:00,4.07,71.92
2023-04-14 14:00,0.59,72.39
2023-04-14 15:00,0.29,72.9
2023-04-14 16:00,0.55,73.18
2023-04-14 17:00,-0.21,72.82
2023-04-14 18:00,-0.21,72.43
2023-04-14 19:00,-0.21,71.92
2023-04-14 20:00,-0.21,71.49
2023-04-14 21:00,-0.21,71.13
2023-04-14 22:00,-0.21,70.88
2023-04-14 23:00,-0.21,70.66
2023-04-15 00:00,-0.21,70.48
2023-04-15 01:00,-0.21,70.3
2023-04-15 02:00,-0.21,70.12
2023-04-15 03:00,-0.21,69.98
2023-04-15 04:00,-0.21,69.84
2023-04-15 05:00,-0.21,69.62
2023-04-15 06:00,-0.21,69.44
2023-04-15 07:00,-0.21,69.3
2023-04-15 08:00,-0.21,69.19
2023-04-15 09:00,-0.21,69.37
2023-04-15 10:00,-0.21,69.73
2023-04-15 11:00,-0.21,70.48
2023-04-15 12:00,0.36,71.49
2023-04-15 13:00,0.02,72.64
2023-04-15 14:00,0.13,73.76
2023-04-15 15:00,0.19,74.19
2023-04-15 16:00,-0.2,74.05
2023-04-15 17:00,-0.21,73.44
2023-04-15 18:00,-0.21,72.82
2023-04-15 19:00,-0.21,72.32
2023-04-15 20:00,-0.21,71.92
2023-04-15 21:00,-0.21,71.56
2023-04-15 22:00,-0.21,71.28
2023-04-15 23:00,-0.21,71.06
2023-04-16 00:00,-0.21,70.84
2023-04-16 01:00,-0.21,70.52
2023-04-16 02:00,-0.21,70.27
2023-04-16 03:00,-0.21,70.12
2023-04-16 04:00,-0.21,70.12
2023-04-16 05:00,-0.21,70.05
2023-04-16 06:00,-0.21,69.98
2023-04-16 07:00,-0.21,69.94
2023-04-16 08:00,-0.21,69.94
2023-04-16 09:00,-0.21,70.05
2023-04-16 10:00,-0.21,70.27
2023-04-16 11:00,-0.21,70.66
2023-04-16 12:00,-0.21,71.24
2023-04-16 13:00,-0.21,71.96
2023-04-16 14:00,-0.2,72.75
2023-04-16 15:00,-0.21,73.58
2023-04-16 16:00,-0.21,73.58
2023-04-16 17:00,-0.21,73.04
2023-04-16 18:00,-0.21,72.5
2023-04-16 19:00,-0.21,72.07
2023-04-16 20:00,-0.21,71.71
2023-04-16 21:00,-0.21,71.38
2023-04-16 22:00,-0.21,71.13
2023-04-16 23:00,-0.21,70.92
2023-04-17 00:00,-0.21,70.74
2023-04-17 01:00,-0.21,70.63
2023-04-17 02:00,-0.21,70.52
2023-04-17 03:00,-0.21,70.41
2023-04-17 04:00,-0.21,70.2
2023-04-17 05:00,-0.21,69.91
2023-04-17 06:00,-0.21,69.69
2023-04-17 07:00,-0.21,69.48
2023-04-17 08:00,-0.21,69.3
2023-04-17 09:00,-0.21,69.15
2023-04-17 10:00,-0.21,69.15
2023-04-17 11:00,-0.21,69.58
2023-04-17 12:00,-0.21,70.41
2023-04-17 13:00,-0.21,71.38
2023-04-17 14:00,-0.2,72.43
2023-04-17 15:00,-0.19,72.82
2023-04-17 16:00,-0.21,72.72
2023-04-17 17:00,-0.21,72.14
2023-04-17 18:00,-0.21,71.6
2023-04-17 19:00,-0.21,71.06
2023-04-17 20:00,-0.21,70.66
2023-04-17 21:00,-0.21,70.3
2023-04-17 22:00,-0.21,69.91
2023-04-17 23:00,-0.21,69.51
2023-04-18 00:00,-0.21,69.15
2023-04-18 01:00,-0.21,68.72
2023-04-18 02:00,-0.21,68.47
2023-04-18 03:00,-0.22,68.11
2023-04-18 04:00,-0.21,67.82
2023-04-18 05:00,-0.22,67.57
2023-04-18 06:00,-0.22,67.39
2023-04-18 07:00,-0.22,67.24
2023-04-18 08:00,-0.22,67.14
2023-04-18 09:00,-0.22,67.17
2023-04-18 10:00,-0.22,67.64
2023-04-18 11:00,0.19,68.65
2023-04-18 12:00,1.01,70.05
2023-04-18 13:00,0.77,71.28
2023-04-18 14:00,0.67,72.36
2023-04-18 15:00,-0.01,72.79
2023-04-18 16:00,-0.2,72.75
2023-04-18 17:00,-0.21,72.18
2023-04-18 18:00,-0.21,71.74
2023-04-18 19:00,-0.21,71.31
2023-04-18 20:00,-0.21,70.88
2023-04-18 21:00,-0.21,70.45
2023-04-18 22:00,-0.21,70.02
2023-04-18 23:00,-0.21,69.66
2023-04-19 00:00,-0.21,69.22
2023-04-19 01:00,-0.21,68.76
2023-04-19 02:00,-0.21,68.4
2023-04-19 03:00,-0.21,68.18
2023-04-19 04:00,-0.21,68.11
2023-04-19 05:00,-0.21,68.11
2023-04-19 06:00,-0.21,68.04
2023-04-19 07:00,-0.21,68
2023-04-19 08:00,-0.22,68
2023-04-19 09:00,-0.21,68.18
2023-04-19 10:00,0.61,68.76
2023-04-19 11:00,2.22,69.62
2023-04-19 12:00,2.34,70.27
2023-04-19 13:00,2.54,71.17
2023-04-19 14:00,3.96,72.18
2023-04-19 15:00,3.71,72.82
2023-04-19 16:00,0.71,72.9
2023-04-19 17:00,-0.21,72.46
2023-04-19 18:00,-0.21,71.85
2023-04-19 19:00,-0.21,71.42
2023-04-19 20:00,-0.21,71.02
2023-04-19 21:00,-0.21,70.7
2023-04-19 22:00,-0.21,70.38
2023-04-19 23:00,-0.21,70.05
2023-04-20 00:00,-0.21,69.76
2023-04-20 01:00,-0.21,69.4
2023-04-20 02:00,-0.21,69.04
2023-04-20 03:00,-0.21,68.76
2023-04-20 04:00,-0.22,68.5
2023-04-20 05:00,-0.21,68.36
2023-04-20 06:00,-0.21,68.32
2023-04-20 07:00,-0.22,68.22
2023-04-20 08:00,-0.22,68.11
2023-04-20 09:00,-0.11,68.32
2023-04-20 10:00,1.94,69.3
2023-04-20 11:00,3.15,70.38
2023-04-20 12:00,4.08,71.42
2023-04-20 13:00,7.05,72.68
2023-04-20 14:00,6.44,73.65
2023-04-20 15:00,2.86,73.98
2023-04-20 16:00,-0.21,73.62
2023-04-20 17:00,-0.21,72.82
2023-04-20 18:00,-0.21,72.25
2023-04-20 19:00,-0.21,71.71
2023-04-20 20:00,-0.21,71.24
2023-04-20 21:00,-0.21,70.81
2023-04-20 22:00,-0.21,70.38
2023-04-20 23:00,-0.21,69.98
2023-04-21 00:00,-0.21,69.66
2023-04-21 01:00,-0.21,69.48
2023-04-21 02:00,-0.21,69.26
2023-04-21 03:00,-0.21,68.97
2023-04-21 04:00,-0.21,68.79
2023-04-21 05:00,-0.21,68.54
2023-04-21 06:00,-0.22,68.43
2023-04-21 07:00,-0.21,68.43
2023-04-21 08:00,-0.21,68.47
2023-04-21 09:00,0.13,68.83
2023-04-21 10:00,0.81,69.62
2023-04-21 11:00,1.49,70.63
2023-04-21 12:00,2.19,71.53
2023-04-21 13:00,3.18,72.43
2023-04-21 14:00,1.84,73.47
2023-04-21 15:00,-0.02,73.94
2023-04-21 16:00,-0.21,73.51
2023-04-21 17:00,-0.21,72.68
2023-04-21 18:00,-0.21,71.96
2023-04-21 19:00,-0.21,71.38
2023-04-21 20:00,-0.21,70.92
2023-04-21 21:00,-0.21,70.52
2023-04-21 22:00,-0.21,70.2
2023-04-21 23:00,-0.21,69.94
2023-04-22 00:00,-0.21,69.8
2023-04-22 01:00,-0.21,69.8
2023-04-22 02:00,-0.21,69.76
2023-04-22 03:00,-0.21,69.73
2023-04-22 04:00,-0.21,69.51
2023-04-22 05:00,-0.21,69.3
2023-04-22 06:00,-0.21,69.19
2023-04-22 07:00,-0.21,69.12
2023-04-22 08:00,-0.21,69.19
2023-04-22 09:00,-0.21,69.58
2023-04-22 10:00,-0.21,70.27
2023-04-22 11:00,-0.21,71.13
2023-04-22 12:00,-0.21,71.85
2023-04-22 13:00,-0.21,72.93
2023-04-22 14:00,-0.21,72.86
2023-04-22 15:00,-0.21,72.64
2023-04-22 16:00,-0.21,72.61
2023-04-22 17:00,-0.21,72.25
2023-04-22 18:00,-0.21,71.74
2023-04-22 19:00,-0.21,71.31
2023-04-22 20:00,-0.21,71.02
2023-04-22 21:00,-0.21,70.7
2023-04-22 22:00,-0.21,70.34
2023-04-22 23:00,-0.21,70.05
2023-04-23 00:00,-0.21,69.84
2023-04-23 01:00,-0.21,69.58
2023-04-23 02:00,-0.21,69.44
2023-04-23 03:00,-0.21,69.26
2023-04-23 04:00,-0.19,69.22
2023-04-23 05:00,-0.04,69.04
2023-04-23 06:00,0.12,68.86
2023-04-23 07:00,-0.21,68.72
2023-04-23 08:00,-0.21,68.72
2023-04-23 09:00,-0.2,69.12
2023-04-23 10:00,-0.21,70.02
2023-04-23 11:00,-0.21,70.84
2023-04-23 12:00,1.05,71.92
2023-04-23 13:00,5.49,73.4
2023-04-23 14:00,3.3,73.76
2023-04-23 15:00,1.93,73.4
2023-04-23 16:00,-0.17,72.68
2023-04-23 17:00,-0.21,71.82
2023-04-23 18:00,-0.21,71.17
2023-04-23 19:00,-0.21,70.84
2023-04-23 20:00,-0.14,70.45
2023-04-23 21:00,0,70.05
2023-04-23 22:00,0.3,69.84
2023-04-23 23:00,0.43,69.69
2023-04-24 00:00,0.09,69.58
2023-04-24 01:00,-0.01,69.51
2023-04-24 02:00,-0.07,69.58
2023-04-24 03:00,-0.08,69.58
2023-04-24 04:00,-0.07,69.55
2023-04-24 05:00,0.08,69.51
2023-04-24 06:00,0.04,69.55
2023-04-24 07:00,0.21,69.62
2023-04-24 08:00,1.36,69.84
2023-04-24 09:00,2.92,70.34
2023-04-24 10:00,1.45,70.7
2023-04-24 11:00,4.87,71.1
2023-04-24 12:00,2.83,71.71
2023-04-24 13:00,1.64,71.78
2023-04-24 14:00,3,71.78
2023-04-24 15:00,4.68,71.42
2023-04-24 16:00,4.68,71.24
2023-04-24 17:00,5.31,71.02
2023-04-24 18:00,4.97,70.7
2023-04-24 19:00,3.45,70.48
2023-04-24 20:00,4.02,70.3
2023-04-24 21:00,4.02,70.38
2023-04-24 22:00,4.04,70.27
2023-04-24 23:00,3.72,70.23
2023-04-25 00:00,4.65,70.2
2023-04-25 01:00,4.78,70.12
2023-04-25 02:00,4.56,70.09
2023-04-25 03:00,4.83,70.05
2023-04-25 04:00,4.76,69.87
2023-04-25 05:00,4.57,69.84
2023-04-25 06:00,4.79,69.98
2023-04-25 07:00,5.01,70.05
2023-04-25 08:00,5.55,70.3
2023-04-25 09:00,5.96,70.81
2023-04-25 10:00,6.48,71.53
2023-04-25 11:00,6.99,72.32
2023-04-25 12:00,7.51,73.22
2023-04-25 13:00,7.53,73.65
2023-04-25 14:00,7.42,73.54
2023-04-25 15:00,6.18,72.64
2023-04-25 16:00,6.04,71.92
2023-04-25 17:00,6.29,72.03
2023-04-25 18:00,5.74,71.71
2023-04-25 19:00,5.1,71.35
2023-04-25 20:00,5.06,70.88
2023-04-25 21:00,4.86,70.45
2023-04-25 22:00,4.27,70.59
2023-04-25 23:00,4.47,70.52
2023-04-26 00:00,4.6,70.52
2023-04-26 01:00,4.57,70.56
2023-04-26 02:00,4.64,70.48
2023-04-26 03:00,4.67,70.41
2023-04-26 04:00,4.75,70.34
2023-04-26 05:00,4.77,70.23
2023-04-26 06:00,4.82,70.2
2023-04-26 07:00,4.97,70.3
2023-04-26 08:00,5.45,70.56
