Date,DO,Temp
2022-11-28 13:00,6.71,73.62
2022-11-28 14:00,7.1,74.01
2022-11-28 15:00,7.13,74.01
2022-11-28 16:00,6.64,73.51
2022-11-28 17:00,5.96,72.97
2022-11-28 18:00,5.18,72.28
2022-11-28 19:00,4.71,71.82
2022-11-28 20:00,4.46,71.46
2022-11-28 21:00,4.35,71.24
2022-11-28 22:00,4.33,71.1
2022-11-28 23:00,4.36,70.95
2022-11-29 00:00,4.49,70.77
2022-11-29 01:00,4.64,70.63
2022-11-29 02:00,4.77,70.45
2022-11-29 03:00,4.84,70.27
2022-11-29 04:00,4.83,70.12
2022-11-29 05:00,4.74,70.02
2022-11-29 06:00,4.25,70.02
2022-11-29 07:00,4.3,70.02
2022-11-29 08:00,4.23,70.16
2022-11-29 09:00,4.58,70.56
2022-11-29 10:00,5.29,71.2
2022-11-29 11:00,6.28,72.25
2022-11-29 12:00,6.88,73.11
2022-11-29 13:00,7.1,73.65
2022-11-29 14:00,7.1,73.94
2022-11-29 15:00,6.92,73.98
2022-11-29 16:00,6.36,73.65
2022-11-29 17:00,5.77,73.18
2022-11-29 18:00,5.08,72.64
2022-11-29 19:00,4.62,72.18
2022-11-29 20:00,4.31,71.89
2022-11-29 21:00,4.17,71.71
2022-11-29 22:00,4.1,71.6
2022-11-29 23:00,4.07,71.53
2022-11-30 00:00,4.12,71.49
2022-11-30 01:00,4.21,71.42
2022-11-30 02:00,4.33,71.38
2022-11-30 03:00,4.41,71.31
2022-11-30 04:00,4.48,71.2
2022-11-30 05:00,4.51,71.13
2022-11-30 06:00,4.48,70.99
2022-11-30 07:00,4.25,70.92
2022-11-30 08:00,4.17,70.88
2022-11-30 09:00,4.56,71.1
2022-11-30 10:00,5.18,71.74
2022-11-30 11:00,5.89,72.68
2022-11-30 12:00,6.43,73.51
2022-11-30 13:00,6.35,73.76
2022-11-30 14:00,5.73,73.18
2022-11-30 15:00,5.58,72.9
2022-11-30 16:00,5.31,72.75
2022-11-30 17:00,5,72.57
2022-11-30 18:00,4.61,72.32
2022-11-30 19:00,4.41,72.03
2022-11-30 20:00,4.32,71.78
2022-11-30 21:00,4.2,71.64
2022-11-30 22:00,4.03,71.53
2022-11-30 23:00,3.96,71.46
2022-12-01 00:00,3.98,71.42
2022-12-01 01:00,4.04,71.42
2022-12-01 02:00,4.21,71.28
2022-12-01 03:00,4.49,70.95
2022-12-01 04:00,4.72,70.59
2022-12-01 05:00,5.02,70.09
2022-12-01 06:00,5.32,69.48
2022-12-01 07:00,5.58,68.94
2022-12-01 08:00,5.86,68.5
2022-12-01 09:00,6.3,68.32
2022-12-01 10:00,6.98,68.4
2022-12-01 11:00,7.74,69.12
2022-12-01 12:00,8.17,70.16
2022-12-01 13:00,8.36,71.1
2022-12-01 14:00,8.19,71.89
2022-12-01 15:00,7.94,72.21
2022-12-01 16:00,7,71.96
2022-12-01 17:00,5.01,71.67
2022-12-01 18:00,3.61,71.1
2022-12-01 19:00,2.86,70.48
2022-12-01 20:00,3.98,69.91
2022-12-01 21:00,1.62,69.48
2022-12-01 22:00,1.01,69.12
2022-12-01 23:00,0.42,68.94
2022-12-02 00:00,2.33,68.79
2022-12-02 01:00,4.41,68.68
2022-12-02 02:00,3.49,68.58
2022-12-02 03:00,3.89,68.4
2022-12-02 04:00,4.33,68.22
2022-12-02 05:00,1.45,68.04
2022-12-02 06:00,2.82,67.86
2022-12-02 07:00,1.78,67.64
2022-12-02 08:00,0.47,67.5
2022-12-02 09:00,1.08,67.64
2022-12-02 10:00,0.79,68.29
2022-12-02 11:00,0.14,69.51
2022-12-02 12:00,0.1,71.06
2022-12-02 13:00,0.1,72.39
2022-12-02 14:00,0.06,73.33
2022-12-02 15:00,0.11,73.62
2022-12-02 16:00,0.18,73.26
2022-12-02 17:00,0.59,72.72
2022-12-02 18:00,2.19,72.1
2022-12-02 19:00,3.79,71.46
2022-12-02 20:00,4.97,70.95
2022-12-02 21:00,4.93,70.56
2022-12-02 22:00,1.47,70.3
