"Plot Title: GilchristBlue_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20342025, SEN S/N: 20342025)","Temp, °F (LGR S/N: 20342025, SEN S/N: 20342025)"
1,04/26/23 10:00:00 AM,7.34,74.59
2,04/26/23 11:00:00 AM,7.66,75.34
3,04/26/23 12:00:00 PM,7.47,75.20
4,04/26/23 01:00:00 PM,7.46,75.49
5,04/26/23 02:00:00 PM,7.19,75.27
6,04/26/23 03:00:00 PM,6.82,74.55
7,04/26/23 04:00:00 PM,6.37,74.01
8,04/26/23 05:00:00 PM,6.14,73.69
9,04/26/23 06:00:00 PM,5.61,73.11
10,04/26/23 07:00:00 PM,5.26,72.46
11,04/26/23 08:00:00 PM,5.00,72.36
12,04/26/23 09:00:00 PM,5.04,72.36
13,04/26/23 10:00:00 PM,5.13,72.28
14,04/26/23 11:00:00 PM,5.21,72.21
15,04/27/23 12:00:00 AM,5.25,72.14
16,04/27/23 01:00:00 AM,5.27,72.14
17,04/27/23 02:00:00 AM,5.28,72.03
18,04/27/23 03:00:00 AM,5.33,72.00
19,04/27/23 04:00:00 AM,5.31,72.10
20,04/27/23 05:00:00 AM,5.26,72.21
21,04/27/23 06:00:00 AM,5.25,72.28
22,04/27/23 07:00:00 AM,5.58,72.39
23,04/27/23 08:00:00 AM,6.20,72.68
24,04/27/23 09:00:00 AM,6.83,73.18
25,04/27/23 10:00:00 AM,7.35,73.76
26,04/27/23 11:00:00 AM,7.84,74.70
27,04/27/23 12:00:00 PM,7.81,75.20
28,04/27/23 01:00:00 PM,7.49,74.91
29,04/27/23 02:00:00 PM,6.63,73.80
30,04/27/23 03:00:00 PM,7.16,74.16
31,04/27/23 04:00:00 PM,6.83,73.94
32,04/27/23 05:00:00 PM,6.27,73.58
33,04/27/23 06:00:00 PM,5.68,73.22
34,04/27/23 07:00:00 PM,5.25,72.93
35,04/27/23 08:00:00 PM,5.28,72.43
36,04/27/23 09:00:00 PM,5.13,72.25
37,04/27/23 10:00:00 PM,4.93,72.18
38,04/27/23 11:00:00 PM,5.01,72.21
39,04/28/23 12:00:00 AM,5.11,72.18
40,04/28/23 01:00:00 AM,5.21,72.14
41,04/28/23 02:00:00 AM,5.26,72.10
42,04/28/23 03:00:00 AM,5.29,72.07
43,04/28/23 04:00:00 AM,5.28,72.03
44,04/28/23 05:00:00 AM,5.26,72.03
45,04/28/23 06:00:00 AM,5.28,72.03
46,04/28/23 07:00:00 AM,5.48,72.21
47,04/28/23 08:00:00 AM,6.05,72.50
48,04/28/23 09:00:00 AM,6.39,72.90
49,04/28/23 10:00:00 AM,6.65,73.18
50,04/28/23 11:00:00 AM,7.66,74.66
51,04/28/23 12:00:00 PM,7.82,75.42
52,04/28/23 01:00:00 PM,7.67,75.38
53,04/28/23 02:00:00 PM,7.11,74.62
54,04/28/23 03:00:00 PM,6.94,74.37
55,04/28/23 04:00:00 PM,6.71,74.16
56,04/28/23 05:00:00 PM,6.39,73.87
57,04/28/23 06:00:00 PM,5.92,73.51
58,04/28/23 07:00:00 PM,5.43,73.18
59,04/28/23 08:00:00 PM,5.12,72.93
60,04/28/23 09:00:00 PM,5.09,72.82
61,04/28/23 10:00:00 PM,5.13,72.75
62,04/28/23 11:00:00 PM,5.15,72.68
63,04/29/23 12:00:00 AM,5.16,72.64
64,04/29/23 01:00:00 AM,5.16,72.64
65,04/29/23 02:00:00 AM,5.19,72.61
66,04/29/23 03:00:00 AM,5.17,72.57
67,04/29/23 04:00:00 AM,5.21,72.50
68,04/29/23 05:00:00 AM,5.25,72.39
69,04/29/23 06:00:00 AM,5.25,72.39
70,04/29/23 07:00:00 AM,5.65,72.54
71,04/29/23 08:00:00 AM,6.08,72.93
72,04/29/23 09:00:00 AM,6.71,73.65
73,04/29/23 10:00:00 AM,7.29,74.23
74,04/29/23 11:00:00 AM,7.62,74.73
75,04/29/23 12:00:00 PM,7.95,75.92
76,04/29/23 01:00:00 PM,7.41,75.06
77,04/29/23 02:00:00 PM,6.63,74.12
78,04/29/23 03:00:00 PM,5.83,73.40
79,04/29/23 04:00:00 PM,5.55,72.97
80,04/29/23 05:00:00 PM,5.35,72.72
81,04/29/23 06:00:00 PM,5.42,72.64
82,04/29/23 07:00:00 PM,5.38,72.54
83,04/29/23 08:00:00 PM,5.14,72.39
84,04/29/23 09:00:00 PM,5.14,72.32
85,04/29/23 10:00:00 PM,5.19,72.28
86,04/29/23 11:00:00 PM,5.20,72.39
87,04/30/23 12:00:00 AM,5.20,72.50
88,04/30/23 01:00:00 AM,5.15,72.61
89,04/30/23 02:00:00 AM,5.13,72.64
90,04/30/23 03:00:00 AM,5.15,72.68
91,04/30/23 04:00:00 AM,5.53,72.46
92,04/30/23 05:00:00 AM,5.03,72.28
93,04/30/23 06:00:00 AM,4.98,72.25
94,04/30/23 07:00:00 AM,5.31,72.25
95,04/30/23 08:00:00 AM,5.74,72.36
96,04/30/23 09:00:00 AM,6.51,72.79
97,04/30/23 10:00:00 AM,7.07,73.69
98,04/30/23 11:00:00 AM,7.46,74.95
99,04/30/23 12:00:00 PM,7.74,75.42
100,04/30/23 01:00:00 PM,7.31,74.70
101,04/30/23 02:00:00 PM,7.03,74.30
102,04/30/23 03:00:00 PM,6.71,73.69
103,04/30/23 04:00:00 PM,6.36,73.51
104,04/30/23 05:00:00 PM,5.91,73.04
105,04/30/23 06:00:00 PM,5.46,72.68
106,04/30/23 07:00:00 PM,5.26,72.32
107,04/30/23 08:00:00 PM,5.12,72.14
108,04/30/23 09:00:00 PM,5.16,72.03
109,04/30/23 10:00:00 PM,5.24,71.92
110,04/30/23 11:00:00 PM,5.34,71.82
111,05/01/23 12:00:00 AM,5.39,71.71
112,05/01/23 01:00:00 AM,5.47,71.60
113,05/01/23 02:00:00 AM,5.46,71.53
114,05/01/23 03:00:00 AM,5.40,71.38
115,05/01/23 04:00:00 AM,5.51,71.20
116,05/01/23 05:00:00 AM,5.52,71.10
117,05/01/23 06:00:00 AM,5.57,70.99
118,05/01/23 07:00:00 AM,5.82,71.06
119,05/01/23 08:00:00 AM,6.05,71.56
120,05/01/23 09:00:00 AM,6.86,72.75
121,05/01/23 10:00:00 AM,7.55,74.55
122,05/01/23 11:00:00 AM,7.87,75.49
123,05/01/23 12:00:00 PM,7.95,75.92
124,05/01/23 01:00:00 PM,7.70,75.96
125,05/01/23 02:00:00 PM,7.26,75.06
126,05/01/23 03:00:00 PM,6.72,74.30
127,05/01/23 04:00:00 PM,6.37,73.80
128,05/01/23 05:00:00 PM,5.91,73.11
129,05/01/23 06:00:00 PM,5.59,72.64
130,05/01/23 07:00:00 PM,5.47,72.36
131,05/01/23 08:00:00 PM,5.34,72.14
132,05/01/23 09:00:00 PM,5.28,72.03
133,05/01/23 10:00:00 PM,5.28,72.00
134,05/01/23 11:00:00 PM,5.28,71.92
135,05/02/23 12:00:00 AM,5.32,71.89
136,05/02/23 01:00:00 AM,5.31,71.78
137,05/02/23 02:00:00 AM,5.36,71.67
138,05/02/23 03:00:00 AM,5.40,71.56
139,05/02/23 04:00:00 AM,5.42,71.53
140,05/02/23 05:00:00 AM,5.50,71.53
141,05/02/23 06:00:00 AM,5.47,71.56
142,05/02/23 07:00:00 AM,5.74,71.60
143,05/02/23 08:00:00 AM,6.05,71.85
144,05/02/23 09:00:00 AM,6.94,72.61
145,05/02/23 10:00:00 AM,7.69,74.12
146,05/02/23 11:00:00 AM,8.14,74.88
147,05/02/23 12:00:00 PM,7.99,75.70
148,05/02/23 01:00:00 PM,7.67,75.85
149,05/02/23 02:00:00 PM,7.07,75.09
150,05/02/23 03:00:00 PM,6.55,74.44
151,05/02/23 04:00:00 PM,6.27,73.65
152,05/02/23 05:00:00 PM,5.89,72.93
153,05/02/23 06:00:00 PM,5.64,72.36
154,05/02/23 07:00:00 PM,5.49,72.10
155,05/02/23 08:00:00 PM,5.34,71.92
156,05/02/23 09:00:00 PM,5.34,71.78
157,05/02/23 10:00:00 PM,5.37,71.64
158,05/02/23 11:00:00 PM,5.39,71.56
159,05/03/23 12:00:00 AM,5.47,71.46
160,05/03/23 01:00:00 AM,5.54,71.38
161,05/03/23 02:00:00 AM,5.56,71.28
162,05/03/23 03:00:00 AM,5.57,71.20
163,05/03/23 04:00:00 AM,5.51,71.17
164,05/03/23 05:00:00 AM,5.57,71.20
165,05/03/23 06:00:00 AM,5.62,71.13
166,05/03/23 07:00:00 AM,5.82,71.17
167,05/03/23 08:00:00 AM,6.18,71.49
168,05/03/23 09:00:00 AM,7.04,72.36
169,05/03/23 10:00:00 AM,7.61,73.94
170,05/03/23 11:00:00 AM,7.93,74.91
171,05/03/23 12:00:00 PM,8.00,75.56
172,05/03/23 01:00:00 PM,7.82,75.67
173,05/03/23 02:00:00 PM,7.15,74.80
174,05/03/23 03:00:00 PM,6.72,74.12
175,05/03/23 04:00:00 PM,6.20,73.44
176,05/03/23 05:00:00 PM,5.84,72.93
177,05/03/23 06:00:00 PM,5.51,72.54
178,05/03/23 07:00:00 PM,5.33,72.21
179,05/03/23 08:00:00 PM,5.32,71.89
180,05/03/23 09:00:00 PM,5.38,71.64
181,05/03/23 10:00:00 PM,5.50,71.35
182,05/03/23 11:00:00 PM,5.54,71.10
183,05/04/23 12:00:00 AM,5.56,70.92
184,05/04/23 01:00:00 AM,5.58,70.88
185,05/04/23 02:00:00 AM,5.63,70.74
186,05/04/23 03:00:00 AM,5.68,70.63
187,05/04/23 04:00:00 AM,5.68,70.48
188,05/04/23 05:00:00 AM,5.70,70.41
189,05/04/23 06:00:00 AM,5.77,70.30
190,05/04/23 07:00:00 AM,5.97,70.41
191,05/04/23 08:00:00 AM,6.27,71.02
192,05/04/23 09:00:00 AM,6.91,72.39
