"Plot Title: Ich"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21446091, SEN S/N: 21446091)","Temp, °F (LGR S/N: 21446091, SEN S/N: 21446091)"
1,05/29/23 11:00:00 AM,7.09,72.14
2,05/29/23 12:00:00 PM,7.49,72.61
3,05/29/23 01:00:00 PM,7.86,73.18
4,05/29/23 02:00:00 PM,8.15,73.76
5,05/29/23 03:00:00 PM,8.31,74.34
6,05/29/23 04:00:00 PM,8.27,74.59
7,05/29/23 05:00:00 PM,7.91,74.59
8,05/29/23 06:00:00 PM,7.52,74.37
9,05/29/23 07:00:00 PM,7.06,74.08
10,05/29/23 08:00:00 PM,6.48,73.65
11,05/29/23 09:00:00 PM,6.04,73.08
12,05/29/23 10:00:00 PM,5.64,72.54
13,05/29/23 11:00:00 PM,5.30,72.03
14,05/30/23 12:00:00 AM,4.95,71.60
15,05/30/23 01:00:00 AM,4.69,71.28
16,05/30/23 02:00:00 AM,4.62,71.06
17,05/30/23 03:00:00 AM,4.60,70.95
18,05/30/23 04:00:00 AM,4.60,70.84
19,05/30/23 05:00:00 AM,4.62,70.77
20,05/30/23 06:00:00 AM,4.66,70.70
21,05/30/23 07:00:00 AM,4.88,70.70
22,05/30/23 08:00:00 AM,5.30,70.84
23,05/30/23 09:00:00 AM,5.92,71.24
24,05/30/23 10:00:00 AM,6.57,71.92
25,05/30/23 11:00:00 AM,7.13,72.61
26,05/30/23 12:00:00 PM,7.44,73.04
27,05/30/23 01:00:00 PM,7.90,73.33
28,05/30/23 02:00:00 PM,8.34,73.87
29,05/30/23 03:00:00 PM,8.47,74.30
30,05/30/23 04:00:00 PM,8.47,74.59
31,05/30/23 05:00:00 PM,8.09,74.59
32,05/30/23 06:00:00 PM,7.61,74.34
33,05/30/23 07:00:00 PM,7.10,73.94
34,05/30/23 08:00:00 PM,6.53,73.44
35,05/30/23 09:00:00 PM,6.04,73.00
36,05/30/23 10:00:00 PM,5.65,72.61
37,05/30/23 11:00:00 PM,5.29,72.18
38,05/31/23 12:00:00 AM,4.95,71.82
39,05/31/23 01:00:00 AM,4.69,71.46
40,05/31/23 02:00:00 AM,4.57,71.24
41,05/31/23 03:00:00 AM,4.56,71.13
42,05/31/23 04:00:00 AM,4.58,71.06
43,05/31/23 05:00:00 AM,4.58,70.99
44,05/31/23 06:00:00 AM,4.62,70.95
45,05/31/23 07:00:00 AM,4.79,70.95
46,05/31/23 08:00:00 AM,5.34,71.13
47,05/31/23 09:00:00 AM,5.79,71.35
48,05/31/23 10:00:00 AM,6.27,71.71
49,05/31/23 11:00:00 AM,6.78,72.03
50,05/31/23 12:00:00 PM,7.37,72.61
51,05/31/23 01:00:00 PM,7.80,72.93
52,05/31/23 02:00:00 PM,8.17,73.36
53,05/31/23 03:00:00 PM,8.43,73.76
54,05/31/23 04:00:00 PM,8.37,73.94
55,05/31/23 05:00:00 PM,8.16,73.90
56,05/31/23 06:00:00 PM,7.73,73.69
57,05/31/23 07:00:00 PM,7.14,73.40
