"Plot Title: LF_08042023"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733144, SEN S/N: 10733144)","Temp, °F (LGR S/N: 10733144, SEN S/N: 10733144)"
1,01/04/24 11:00:00 AM,10.46,56.16
2,01/04/24 12:00:00 PM,10.44,58.50
3,01/04/24 01:00:00 PM,4.51,71.02
4,01/04/24 02:00:00 PM,4.48,71.42
5,01/04/24 03:00:00 PM,4.62,71.64
6,01/04/24 04:00:00 PM,4.63,71.74
7,01/04/24 05:00:00 PM,4.55,71.67
8,01/04/24 06:00:00 PM,4.36,71.56
9,01/04/24 07:00:00 PM,4.14,71.31
10,01/04/24 08:00:00 PM,3.89,71.13
11,01/04/24 09:00:00 PM,3.77,70.88
12,01/04/24 10:00:00 PM,3.63,70.66
13,01/04/24 11:00:00 PM,3.57,70.48
14,01/05/24 12:00:00 AM,3.62,70.34
15,01/05/24 01:00:00 AM,3.74,70.20
16,01/05/24 02:00:00 AM,3.81,70.09
17,01/05/24 03:00:00 AM,3.88,69.98
18,01/05/24 04:00:00 AM,3.97,69.91
19,01/05/24 05:00:00 AM,4.04,69.87
20,01/05/24 06:00:00 AM,4.05,69.87
21,01/05/24 07:00:00 AM,4.09,69.84
22,01/05/24 08:00:00 AM,4.11,69.91
23,01/05/24 09:00:00 AM,4.10,69.94
24,01/05/24 10:00:00 AM,4.15,70.09
25,01/05/24 11:00:00 AM,4.15,70.41
26,01/05/24 12:00:00 PM,4.34,70.88
27,01/05/24 01:00:00 PM,4.43,71.49
28,01/05/24 02:00:00 PM,4.61,71.92
29,01/05/24 03:00:00 PM,4.68,72.21
30,01/05/24 04:00:00 PM,4.64,72.32
31,01/05/24 05:00:00 PM,4.26,72.36
32,01/05/24 06:00:00 PM,4.03,72.25
33,01/05/24 07:00:00 PM,3.72,72.18
34,01/05/24 08:00:00 PM,3.46,72.00
35,01/05/24 09:00:00 PM,3.16,71.89
36,01/05/24 10:00:00 PM,3.02,71.78
37,01/05/24 11:00:00 PM,2.98,71.71
38,01/06/24 12:00:00 AM,2.87,71.67
39,01/06/24 01:00:00 AM,2.84,71.67
40,01/06/24 02:00:00 AM,2.70,71.74
41,01/06/24 03:00:00 AM,2.65,71.78
42,01/06/24 04:00:00 AM,2.58,71.82
43,01/06/24 05:00:00 AM,2.60,71.85
44,01/06/24 06:00:00 AM,2.94,71.85
45,01/06/24 07:00:00 AM,3.14,71.78
46,01/06/24 08:00:00 AM,3.02,71.85
47,01/06/24 09:00:00 AM,2.85,71.92
48,01/06/24 10:00:00 AM,2.66,72.00
49,01/06/24 11:00:00 AM,2.63,72.21
50,01/06/24 12:00:00 PM,2.68,72.43
51,01/06/24 01:00:00 PM,2.95,72.64
52,01/06/24 02:00:00 PM,3.29,72.90
53,01/06/24 03:00:00 PM,3.56,73.00
54,01/06/24 04:00:00 PM,3.67,73.04
55,01/06/24 05:00:00 PM,3.71,72.86
56,01/06/24 06:00:00 PM,3.73,72.64
57,01/06/24 07:00:00 PM,3.49,72.43
58,01/06/24 08:00:00 PM,3.29,72.18
59,01/06/24 09:00:00 PM,3.05,71.96
60,01/06/24 10:00:00 PM,2.99,71.74
61,01/06/24 11:00:00 PM,2.84,71.60
62,01/07/24 12:00:00 AM,2.83,71.49
63,01/07/24 01:00:00 AM,2.87,71.38
64,01/07/24 02:00:00 AM,2.89,71.31
65,01/07/24 03:00:00 AM,2.97,71.17
66,01/07/24 04:00:00 AM,3.03,71.13
67,01/07/24 05:00:00 AM,3.04,71.06
68,01/07/24 06:00:00 AM,3.16,71.06
69,01/07/24 07:00:00 AM,3.10,70.99
70,01/07/24 08:00:00 AM,3.17,70.95
71,01/07/24 09:00:00 AM,3.35,70.92
72,01/07/24 10:00:00 AM,3.52,70.95
73,01/07/24 11:00:00 AM,3.90,70.99
74,01/07/24 12:00:00 PM,4.18,71.20
75,01/07/24 01:00:00 PM,4.62,71.53
76,01/07/24 02:00:00 PM,4.76,71.78
77,01/07/24 03:00:00 PM,5.04,71.96
78,01/07/24 04:00:00 PM,5.09,72.00
79,01/07/24 05:00:00 PM,5.07,71.89
80,01/07/24 06:00:00 PM,4.88,71.74
81,01/07/24 07:00:00 PM,4.48,71.53
82,01/07/24 08:00:00 PM,4.02,71.31
83,01/07/24 09:00:00 PM,3.72,71.17
84,01/07/24 10:00:00 PM,3.60,71.02
85,01/07/24 11:00:00 PM,3.55,70.95
86,01/08/24 12:00:00 AM,3.52,70.88
87,01/08/24 01:00:00 AM,3.55,70.81
88,01/08/24 02:00:00 AM,3.48,70.74
89,01/08/24 03:00:00 AM,3.59,70.70
90,01/08/24 04:00:00 AM,3.60,70.66
91,01/08/24 05:00:00 AM,3.59,70.63
92,01/08/24 06:00:00 AM,3.67,70.63
93,01/08/24 07:00:00 AM,3.66,70.56
94,01/08/24 08:00:00 AM,3.68,70.56
95,01/08/24 09:00:00 AM,3.69,70.56
96,01/08/24 10:00:00 AM,3.78,70.56
97,01/08/24 11:00:00 AM,3.84,70.66
98,01/08/24 12:00:00 PM,3.99,70.84
99,01/08/24 01:00:00 PM,4.09,71.02
100,01/08/24 02:00:00 PM,4.19,71.20
101,01/08/24 03:00:00 PM,4.20,71.28
102,01/08/24 04:00:00 PM,4.11,71.38
103,01/08/24 05:00:00 PM,4.01,71.38
104,01/08/24 06:00:00 PM,3.87,71.46
105,01/08/24 07:00:00 PM,3.69,71.53
106,01/08/24 08:00:00 PM,3.48,71.53
107,01/08/24 09:00:00 PM,3.36,71.56
108,01/08/24 10:00:00 PM,3.30,71.56
109,01/08/24 11:00:00 PM,3.18,71.60
110,01/09/24 12:00:00 AM,3.13,71.60
111,01/09/24 01:00:00 AM,3.14,71.64
112,01/09/24 02:00:00 AM,3.07,71.67
113,01/09/24 03:00:00 AM,3.06,71.71
114,01/09/24 04:00:00 AM,3.00,71.74
115,01/09/24 05:00:00 AM,3.00,71.74
116,01/09/24 06:00:00 AM,2.89,71.82
117,01/09/24 07:00:00 AM,2.83,71.85
118,01/09/24 08:00:00 AM,2.72,71.96
119,01/09/24 09:00:00 AM,2.60,72.07
120,01/09/24 10:00:00 AM,2.58,72.18
121,01/09/24 11:00:00 AM,2.60,72.32
122,01/09/24 12:00:00 PM,2.75,72.39
123,01/09/24 01:00:00 PM,2.95,72.39
124,01/09/24 02:00:00 PM,3.39,72.28
125,01/09/24 03:00:00 PM,3.79,72.07
126,01/09/24 04:00:00 PM,3.82,71.89
127,01/09/24 05:00:00 PM,3.60,71.74
128,01/09/24 06:00:00 PM,3.40,71.56
129,01/09/24 07:00:00 PM,3.21,71.49
130,01/09/24 08:00:00 PM,3.03,71.38
131,01/09/24 09:00:00 PM,3.00,71.24
132,01/09/24 10:00:00 PM,2.94,71.13
133,01/09/24 11:00:00 PM,3.03,70.95
134,01/10/24 12:00:00 AM,3.14,70.81
135,01/10/24 01:00:00 AM,3.26,70.63
136,01/10/24 02:00:00 AM,3.26,70.48
137,01/10/24 03:00:00 AM,3.26,70.41
138,01/10/24 04:00:00 AM,3.35,70.30
139,01/10/24 05:00:00 AM,3.38,70.20
140,01/10/24 06:00:00 AM,3.45,69.98
141,01/10/24 07:00:00 AM,3.58,69.73
142,01/10/24 08:00:00 AM,3.74,69.62
143,01/10/24 09:00:00 AM,3.78,69.55
144,01/10/24 10:00:00 AM,3.91,69.51
145,01/10/24 11:00:00 AM,4.13,69.66
146,01/10/24 12:00:00 PM,4.48,69.91
147,01/10/24 01:00:00 PM,4.71,70.34
148,01/10/24 02:00:00 PM,4.89,70.74
149,01/10/24 03:00:00 PM,5.09,71.02
150,01/10/24 04:00:00 PM,4.91,71.28
151,01/10/24 05:00:00 PM,4.96,71.24
152,01/10/24 06:00:00 PM,4.84,71.17
153,01/10/24 07:00:00 PM,4.59,70.92
154,01/10/24 08:00:00 PM,4.34,70.84
155,01/10/24 09:00:00 PM,4.15,70.63
156,01/10/24 10:00:00 PM,3.94,70.52
157,01/10/24 11:00:00 PM,3.90,70.41
158,01/11/24 12:00:00 AM,3.88,70.30
159,01/11/24 01:00:00 AM,3.98,70.16
160,01/11/24 02:00:00 AM,3.97,70.09
161,01/11/24 03:00:00 AM,3.92,70.05
162,01/11/24 04:00:00 AM,3.99,69.98
163,01/11/24 05:00:00 AM,4.04,69.91
164,01/11/24 06:00:00 AM,4.05,69.80
165,01/11/24 07:00:00 AM,4.06,69.76
166,01/11/24 08:00:00 AM,4.09,69.80
167,01/11/24 09:00:00 AM,4.04,69.84
168,01/11/24 10:00:00 AM,4.04,70.05
169,01/11/24 11:00:00 AM,4.23,70.48
170,01/11/24 12:00:00 PM,4.43,70.88
171,01/11/24 01:00:00 PM,4.61,71.20
172,01/11/24 02:00:00 PM,4.59,71.49
173,01/11/24 03:00:00 PM,4.71,71.60
174,01/11/24 04:00:00 PM,4.75,71.85
175,01/11/24 05:00:00 PM,4.76,71.92
176,01/11/24 06:00:00 PM,4.59,71.82
177,01/11/24 07:00:00 PM,4.33,71.71
178,01/11/24 08:00:00 PM,4.02,71.53
179,01/11/24 09:00:00 PM,3.79,71.38
180,01/11/24 10:00:00 PM,3.56,71.28
181,01/11/24 11:00:00 PM,3.47,71.17
182,01/12/24 12:00:00 AM,3.45,71.10
183,01/12/24 01:00:00 AM,3.44,71.06
184,01/12/24 02:00:00 AM,3.38,70.99
185,01/12/24 03:00:00 AM,3.34,70.92
186,01/12/24 04:00:00 AM,3.30,70.95
187,01/12/24 05:00:00 AM,3.31,70.92
188,01/12/24 06:00:00 AM,3.31,70.99
189,01/12/24 07:00:00 AM,3.34,70.95
190,01/12/24 08:00:00 AM,3.35,71.10
191,01/12/24 09:00:00 AM,3.29,71.17
192,01/12/24 10:00:00 AM,3.31,71.31
193,01/12/24 11:00:00 AM,3.31,71.49
194,01/12/24 12:00:00 PM,3.40,71.71
195,01/12/24 01:00:00 PM,3.48,71.92
196,01/12/24 02:00:00 PM,3.41,72.18
197,01/12/24 03:00:00 PM,3.39,72.36
198,01/12/24 04:00:00 PM,3.31,72.50
199,01/12/24 05:00:00 PM,3.17,72.64
200,01/12/24 06:00:00 PM,3.00,72.64
201,01/12/24 07:00:00 PM,2.77,72.72
202,01/12/24 08:00:00 PM,2.54,72.72
203,01/12/24 09:00:00 PM,2.44,72.72
204,01/12/24 10:00:00 PM,2.23,72.72
205,01/12/24 11:00:00 PM,2.08,72.79
206,01/13/24 12:00:00 AM,2.03,72.79
207,01/13/24 01:00:00 AM,2.02,72.72
208,01/13/24 02:00:00 AM,2.10,72.61
209,01/13/24 03:00:00 AM,2.35,72.43
210,01/13/24 04:00:00 AM,2.35,72.28
211,01/13/24 05:00:00 AM,2.41,72.10
212,01/13/24 06:00:00 AM,2.50,72.00
213,01/13/24 07:00:00 AM,2.66,71.67
214,01/13/24 08:00:00 AM,2.74,71.56
215,01/13/24 09:00:00 AM,2.97,71.31
216,01/13/24 10:00:00 AM,3.27,71.17
217,01/13/24 11:00:00 AM,3.59,71.06
218,01/13/24 12:00:00 PM,3.95,71.02
219,01/13/24 01:00:00 PM,4.31,71.10
220,01/13/24 02:00:00 PM,4.65,71.20
221,01/13/24 03:00:00 PM,5.16,71.28
222,01/13/24 04:00:00 PM,5.19,71.35
223,01/13/24 05:00:00 PM,5.36,71.28
224,01/13/24 06:00:00 PM,5.18,71.17
225,01/13/24 07:00:00 PM,4.82,70.99
226,01/13/24 08:00:00 PM,4.50,70.84
227,01/13/24 09:00:00 PM,4.19,70.66
228,01/13/24 10:00:00 PM,4.00,70.48
229,01/13/24 11:00:00 PM,3.79,70.38
230,01/14/24 12:00:00 AM,3.73,70.30
231,01/14/24 01:00:00 AM,3.66,70.23
232,01/14/24 02:00:00 AM,3.64,70.16
233,01/14/24 03:00:00 AM,3.67,70.16
234,01/14/24 04:00:00 AM,3.70,70.12
235,01/14/24 05:00:00 AM,3.72,70.12
236,01/14/24 06:00:00 AM,3.81,70.12
237,01/14/24 07:00:00 AM,3.81,70.09
238,01/14/24 08:00:00 AM,3.87,70.05
239,01/14/24 09:00:00 AM,4.00,70.09
240,01/14/24 10:00:00 AM,4.09,70.16
241,01/14/24 11:00:00 AM,4.34,70.30
242,01/14/24 12:00:00 PM,4.65,70.45
243,01/14/24 01:00:00 PM,4.95,70.66
244,01/14/24 02:00:00 PM,5.18,70.92
245,01/14/24 03:00:00 PM,5.40,71.20
246,01/14/24 04:00:00 PM,5.40,71.38
247,01/14/24 05:00:00 PM,5.26,71.35
248,01/14/24 06:00:00 PM,5.10,71.20
249,01/14/24 07:00:00 PM,4.80,71.06
250,01/14/24 08:00:00 PM,4.50,70.88
251,01/14/24 09:00:00 PM,4.20,70.70
252,01/14/24 10:00:00 PM,3.92,70.52
253,01/14/24 11:00:00 PM,3.99,70.34
254,01/15/24 12:00:00 AM,3.93,70.23
255,01/15/24 01:00:00 AM,3.95,70.12
256,01/15/24 02:00:00 AM,3.88,70.02
257,01/15/24 03:00:00 AM,3.88,69.94
258,01/15/24 04:00:00 AM,3.90,69.91
259,01/15/24 05:00:00 AM,3.97,69.91
260,01/15/24 06:00:00 AM,3.98,69.91
261,01/15/24 07:00:00 AM,3.95,69.87
262,01/15/24 08:00:00 AM,3.90,69.98
263,01/15/24 09:00:00 AM,3.91,70.05
264,01/15/24 10:00:00 AM,3.97,70.27
265,01/15/24 11:00:00 AM,4.10,70.63
266,01/15/24 12:00:00 PM,4.25,71.02
267,01/15/24 01:00:00 PM,4.22,71.53
268,01/15/24 02:00:00 PM,4.33,71.85
269,01/15/24 03:00:00 PM,4.29,72.10
270,01/15/24 04:00:00 PM,4.29,72.32
271,01/15/24 05:00:00 PM,4.36,72.43
272,01/15/24 06:00:00 PM,4.12,72.36
273,01/15/24 07:00:00 PM,3.74,72.43
274,01/15/24 08:00:00 PM,3.53,72.25
275,01/15/24 09:00:00 PM,3.21,72.14
276,01/15/24 10:00:00 PM,3.04,72.03
277,01/15/24 11:00:00 PM,2.94,71.85
278,01/16/24 12:00:00 AM,2.87,71.78
279,01/16/24 01:00:00 AM,2.84,71.82
280,01/16/24 02:00:00 AM,2.81,71.82
281,01/16/24 03:00:00 AM,2.85,71.67
282,01/16/24 04:00:00 AM,2.81,71.71
283,01/16/24 05:00:00 AM,3.13,71.56
284,01/16/24 06:00:00 AM,3.02,71.67
285,01/16/24 07:00:00 AM,2.89,71.56
286,01/16/24 08:00:00 AM,2.79,71.60
287,01/16/24 09:00:00 AM,2.78,71.64
288,01/16/24 10:00:00 AM,2.70,71.74
289,01/16/24 11:00:00 AM,2.73,71.85
290,01/16/24 12:00:00 PM,2.67,72.03
291,01/16/24 01:00:00 PM,2.74,72.10
292,01/16/24 02:00:00 PM,2.77,72.10
293,01/16/24 03:00:00 PM,2.97,72.03
294,01/16/24 04:00:00 PM,3.17,71.92
295,01/16/24 05:00:00 PM,3.28,71.92
296,01/16/24 06:00:00 PM,3.40,71.74
297,01/16/24 07:00:00 PM,3.47,71.67
298,01/16/24 08:00:00 PM,3.42,71.49
299,01/16/24 09:00:00 PM,3.46,71.35
300,01/16/24 10:00:00 PM,3.60,71.02
301,01/16/24 11:00:00 PM,3.64,70.74
302,01/17/24 12:00:00 AM,3.73,70.45
303,01/17/24 01:00:00 AM,3.85,70.16
304,01/17/24 02:00:00 AM,3.90,69.94
305,01/17/24 03:00:00 AM,4.18,69.66
306,01/17/24 04:00:00 AM,4.14,69.55
307,01/17/24 05:00:00 AM,4.26,69.30
308,01/17/24 06:00:00 AM,4.25,69.15
309,01/17/24 07:00:00 AM,4.37,68.97
310,01/17/24 08:00:00 AM,4.55,68.86
311,01/17/24 09:00:00 AM,4.58,68.83
312,01/17/24 10:00:00 AM,4.78,68.79
313,01/17/24 11:00:00 AM,5.03,68.97
314,01/17/24 12:00:00 PM,5.36,69.33
315,01/17/24 01:00:00 PM,5.69,69.66
316,01/17/24 02:00:00 PM,5.95,70.09
317,01/17/24 03:00:00 PM,5.96,70.38
318,01/17/24 04:00:00 PM,6.01,70.48
319,01/17/24 05:00:00 PM,5.92,70.48
320,01/17/24 06:00:00 PM,5.62,70.45
321,01/17/24 07:00:00 PM,5.42,70.34
322,01/17/24 08:00:00 PM,5.12,70.09
323,01/17/24 09:00:00 PM,4.82,69.91
324,01/17/24 10:00:00 PM,4.59,69.73
325,01/17/24 11:00:00 PM,4.53,69.58
326,01/18/24 12:00:00 AM,4.46,69.48
327,01/18/24 01:00:00 AM,4.37,69.33
328,01/18/24 02:00:00 AM,4.45,69.22
329,01/18/24 03:00:00 AM,4.51,69.19
330,01/18/24 04:00:00 AM,4.52,69.19
331,01/18/24 05:00:00 AM,4.52,69.15
332,01/18/24 06:00:00 AM,4.48,69.15
333,01/18/24 07:00:00 AM,4.47,69.04
334,01/18/24 08:00:00 AM,4.55,69.19
335,01/18/24 09:00:00 AM,4.59,69.26
336,01/18/24 10:00:00 AM,4.62,69.48
337,01/18/24 11:00:00 AM,4.80,69.76
338,01/18/24 12:00:00 PM,4.88,70.12
339,01/18/24 01:00:00 PM,4.89,70.45
340,01/18/24 02:00:00 PM,4.90,70.63
341,01/18/24 03:00:00 PM,4.87,70.74
342,01/18/24 04:00:00 PM,4.78,70.88
343,01/18/24 05:00:00 PM,4.73,70.95
344,01/18/24 06:00:00 PM,4.53,70.92
345,01/18/24 07:00:00 PM,4.43,70.88
346,01/18/24 08:00:00 PM,4.25,70.88
347,01/18/24 09:00:00 PM,4.04,70.84
348,01/18/24 10:00:00 PM,4.06,70.66
349,01/18/24 11:00:00 PM,3.98,70.59
350,01/19/24 12:00:00 AM,3.92,70.52
351,01/19/24 01:00:00 AM,3.88,70.48
352,01/19/24 02:00:00 AM,3.87,70.41
353,01/19/24 03:00:00 AM,3.85,70.34
354,01/19/24 04:00:00 AM,3.82,70.30
355,01/19/24 05:00:00 AM,3.84,70.27
356,01/19/24 06:00:00 AM,3.72,70.34
357,01/19/24 07:00:00 AM,3.77,70.20
358,01/19/24 08:00:00 AM,3.79,70.34
359,01/19/24 09:00:00 AM,3.71,70.48
360,01/19/24 10:00:00 AM,3.74,70.66
361,01/19/24 11:00:00 AM,3.62,70.88
362,01/19/24 12:00:00 PM,3.78,71.17
363,01/19/24 01:00:00 PM,3.90,71.71
364,01/19/24 02:00:00 PM,4.08,72.03
365,01/19/24 03:00:00 PM,4.51,72.14
366,01/19/24 04:00:00 PM,4.57,72.32
367,01/19/24 05:00:00 PM,4.33,72.25
368,01/19/24 06:00:00 PM,4.33,72.14
369,01/19/24 07:00:00 PM,4.52,71.92
370,01/19/24 08:00:00 PM,4.11,71.64
371,01/19/24 09:00:00 PM,3.85,71.38
372,01/19/24 10:00:00 PM,3.70,71.06
373,01/19/24 11:00:00 PM,3.59,70.92
374,01/20/24 12:00:00 AM,3.71,70.74
375,01/20/24 01:00:00 AM,3.72,70.59
376,01/20/24 02:00:00 AM,3.76,70.41
377,01/20/24 03:00:00 AM,3.79,70.23
378,01/20/24 04:00:00 AM,3.84,70.09
379,01/20/24 05:00:00 AM,3.97,69.91
380,01/20/24 06:00:00 AM,4.00,69.76
381,01/20/24 07:00:00 AM,4.06,69.51
382,01/20/24 08:00:00 AM,4.08,69.40
383,01/20/24 09:00:00 AM,4.14,69.30
384,01/20/24 10:00:00 AM,4.25,69.30
385,01/20/24 11:00:00 AM,4.57,69.44
386,01/20/24 12:00:00 PM,4.61,69.76
