"Plot Title: LittleFanning_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21446162, SEN S/N: 21446162)","Temp, °F (LGR S/N: 21446162, SEN S/N: 21446162)"
1,06/26/23 12:00:00 PM,4.51,80.56
2,06/26/23 01:00:00 PM,5.12,74.73
3,06/26/23 02:00:00 PM,5.11,74.84
4,06/26/23 03:00:00 PM,5.10,75.06
5,06/26/23 04:00:00 PM,4.82,75.02
6,06/26/23 05:00:00 PM,4.35,74.62
7,06/26/23 06:00:00 PM,3.76,74.19
8,06/26/23 07:00:00 PM,3.33,73.87
9,06/26/23 08:00:00 PM,2.97,73.62
10,06/26/23 09:00:00 PM,2.75,73.47
11,06/26/23 10:00:00 PM,2.60,73.36
12,06/26/23 11:00:00 PM,2.55,73.33
13,06/27/23 12:00:00 AM,2.46,73.29
14,06/27/23 01:00:00 AM,2.42,73.26
15,06/27/23 02:00:00 AM,2.41,73.22
16,06/27/23 03:00:00 AM,2.41,73.22
17,06/27/23 04:00:00 AM,2.44,73.18
18,06/27/23 05:00:00 AM,2.48,73.18
19,06/27/23 06:00:00 AM,2.51,73.18
20,06/27/23 07:00:00 AM,2.57,73.22
21,06/27/23 08:00:00 AM,2.74,73.36
22,06/27/23 09:00:00 AM,3.04,73.54
23,06/27/23 10:00:00 AM,3.37,73.90
24,06/27/23 11:00:00 AM,3.80,74.41
25,06/27/23 12:00:00 PM,4.17,74.91
26,06/27/23 01:00:00 PM,4.60,75.34
27,06/27/23 02:00:00 PM,4.77,75.56
28,06/27/23 03:00:00 PM,4.70,75.60
29,06/27/23 04:00:00 PM,4.46,75.31
30,06/27/23 05:00:00 PM,3.99,74.88
31,06/27/23 06:00:00 PM,3.42,74.34
32,06/27/23 07:00:00 PM,3.08,74.01
33,06/27/23 08:00:00 PM,2.82,73.80
34,06/27/23 09:00:00 PM,2.60,73.62
35,06/27/23 10:00:00 PM,2.49,73.51
36,06/27/23 11:00:00 PM,2.42,73.40
37,06/28/23 12:00:00 AM,2.42,73.36
38,06/28/23 01:00:00 AM,2.40,73.40
39,06/28/23 02:00:00 AM,2.35,73.40
40,06/28/23 03:00:00 AM,2.32,73.40
41,06/28/23 04:00:00 AM,2.32,73.40
42,06/28/23 05:00:00 AM,2.33,73.36
43,06/28/23 06:00:00 AM,2.35,73.36
44,06/28/23 07:00:00 AM,2.37,73.36
45,06/28/23 08:00:00 AM,2.42,73.44
46,06/28/23 09:00:00 AM,2.61,73.58
47,06/28/23 10:00:00 AM,3.16,73.90
48,06/28/23 11:00:00 AM,3.73,74.37
49,06/28/23 12:00:00 PM,4.07,74.88
50,06/28/23 01:00:00 PM,4.43,75.31
51,06/28/23 02:00:00 PM,4.58,75.56
52,06/28/23 03:00:00 PM,4.51,75.56
53,06/28/23 04:00:00 PM,4.26,75.31
54,06/28/23 05:00:00 PM,3.86,74.95
