"Plot Title: Otter_DO_"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21446161, SEN S/N: 21446161)","Temp, °F (LGR S/N: 21446161, SEN S/N: 21446161)"
1,08/14/23 10:00:00 AM,1.83,76.60
2,08/14/23 11:00:00 AM,2.12,76.50
3,08/14/23 12:00:00 PM,2.14,76.89
4,08/14/23 01:00:00 PM,2.56,76.96
5,08/14/23 02:00:00 PM,3.50,78.04
6,08/14/23 03:00:00 PM,4.27,77.36
7,08/14/23 04:00:00 PM,4.08,77.32
8,08/14/23 05:00:00 PM,3.95,77.40
9,08/14/23 06:00:00 PM,3.90,77.47
10,08/14/23 07:00:00 PM,3.82,77.47
11,08/14/23 08:00:00 PM,4.01,77.50
12,08/14/23 09:00:00 PM,4.56,77.43
13,08/14/23 10:00:00 PM,4.48,77.32
14,08/14/23 11:00:00 PM,4.30,77.18
15,08/15/23 12:00:00 AM,3.86,76.86
16,08/15/23 01:00:00 AM,3.22,76.35
17,08/15/23 02:00:00 AM,2.70,75.78
18,08/15/23 03:00:00 AM,2.31,75.42
19,08/15/23 04:00:00 AM,2.02,75.27
20,08/15/23 05:00:00 AM,1.85,75.20
21,08/15/23 06:00:00 AM,1.65,75.20
22,08/15/23 07:00:00 AM,1.57,75.06
23,08/15/23 08:00:00 AM,1.59,74.95
24,08/15/23 09:00:00 AM,1.60,74.80
25,08/15/23 10:00:00 AM,1.79,74.88
26,08/15/23 11:00:00 AM,2.02,75.06
27,08/15/23 12:00:00 PM,2.54,75.42
28,08/15/23 01:00:00 PM,2.50,75.60
29,08/15/23 02:00:00 PM,2.75,75.67
30,08/15/23 03:00:00 PM,2.95,75.78
31,08/15/23 04:00:00 PM,2.51,76.42
32,08/15/23 05:00:00 PM,2.79,77.25
33,08/15/23 06:00:00 PM,2.60,77.29
34,08/15/23 07:00:00 PM,2.97,77.14
35,08/15/23 08:00:00 PM,2.90,76.86
36,08/15/23 09:00:00 PM,3.04,76.64
37,08/15/23 10:00:00 PM,4.05,76.64
38,08/15/23 11:00:00 PM,3.99,76.60
39,08/16/23 12:00:00 AM,3.77,76.46
40,08/16/23 01:00:00 AM,3.36,76.06
41,08/16/23 02:00:00 AM,2.88,75.52
42,08/16/23 03:00:00 AM,3.21,75.24
43,08/16/23 04:00:00 AM,3.33,74.88
44,08/16/23 05:00:00 AM,3.14,74.88
45,08/16/23 06:00:00 AM,2.95,74.91
46,08/16/23 07:00:00 AM,3.00,74.91
47,08/16/23 08:00:00 AM,3.04,74.88
48,08/16/23 09:00:00 AM,3.14,74.84
49,08/16/23 10:00:00 AM,3.36,74.98
50,08/16/23 11:00:00 AM,3.62,75.34
51,08/16/23 12:00:00 PM,3.90,75.92
52,08/16/23 01:00:00 PM,4.27,76.50
53,08/16/23 02:00:00 PM,4.67,77.00
54,08/16/23 03:00:00 PM,4.65,77.32
55,08/16/23 04:00:00 PM,5.13,77.72
56,08/16/23 05:00:00 PM,6.86,77.29
57,08/16/23 06:00:00 PM,6.91,77.29
58,08/16/23 07:00:00 PM,6.76,77.22
59,08/16/23 08:00:00 PM,6.56,77.14
60,08/16/23 09:00:00 PM,6.20,77.04
61,08/16/23 10:00:00 PM,5.99,76.89
62,08/16/23 11:00:00 PM,5.69,76.60
63,08/17/23 12:00:00 AM,5.20,76.32
64,08/17/23 01:00:00 AM,4.72,75.99
65,08/17/23 02:00:00 AM,3.90,75.67
66,08/17/23 03:00:00 AM,3.33,75.31
67,08/17/23 04:00:00 AM,2.82,74.98
68,08/17/23 05:00:00 AM,2.47,74.84
69,08/17/23 06:00:00 AM,2.41,74.77
70,08/17/23 07:00:00 AM,2.17,74.80
71,08/17/23 08:00:00 AM,1.89,74.77
72,08/17/23 09:00:00 AM,1.78,74.66
73,08/17/23 10:00:00 AM,2.07,74.70
74,08/17/23 11:00:00 AM,2.22,74.91
75,08/17/23 12:00:00 PM,2.66,75.45
76,08/17/23 01:00:00 PM,3.68,75.99
77,08/17/23 02:00:00 PM,3.86,76.17
78,08/17/23 03:00:00 PM,4.08,76.32
79,08/17/23 04:00:00 PM,4.13,76.64
80,08/17/23 05:00:00 PM,3.53,76.71
81,08/17/23 06:00:00 PM,4.10,76.82
82,08/17/23 07:00:00 PM,3.98,77.00
