"Plot Title: GilchristBlue DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733140, SEN S/N: 10733140)","Temp, °F (LGR S/N: 10733140, SEN S/N: 10733140)"
1,12/28/23 11:00:00 AM,4.52,71.31
2,12/28/23 12:00:00 PM,4.64,71.49
3,12/28/23 01:00:00 PM,4.91,71.67
4,12/28/23 02:00:00 PM,5.04,71.82
5,12/28/23 03:00:00 PM,4.98,71.89
6,12/28/23 04:00:00 PM,4.75,71.89
7,12/28/23 05:00:00 PM,4.51,71.82
8,12/28/23 06:00:00 PM,4.37,71.67
9,12/28/23 07:00:00 PM,4.24,71.53
10,12/28/23 08:00:00 PM,4.22,71.38
11,12/28/23 09:00:00 PM,4.25,71.24
12,12/28/23 10:00:00 PM,4.24,71.13
13,12/28/23 11:00:00 PM,4.25,71.10
14,12/29/23 12:00:00 AM,4.29,71.02
15,12/29/23 01:00:00 AM,4.29,71.02
16,12/29/23 02:00:00 AM,4.34,70.92
17,12/29/23 03:00:00 AM,4.36,70.84
18,12/29/23 04:00:00 AM,4.38,70.74
19,12/29/23 05:00:00 AM,4.41,70.63
20,12/29/23 06:00:00 AM,4.48,70.52
21,12/29/23 07:00:00 AM,4.50,70.45
22,12/29/23 08:00:00 AM,4.55,70.34
23,12/29/23 09:00:00 AM,4.72,70.34
24,12/29/23 10:00:00 AM,4.93,70.45
25,12/29/23 11:00:00 AM,5.16,70.74
26,12/29/23 12:00:00 PM,5.33,71.02
27,12/29/23 01:00:00 PM,5.42,71.42
28,12/29/23 02:00:00 PM,5.46,71.49
29,12/29/23 03:00:00 PM,5.34,71.46
30,12/29/23 04:00:00 PM,5.10,71.38
31,12/29/23 05:00:00 PM,4.89,71.13
32,12/29/23 06:00:00 PM,4.67,70.88
33,12/29/23 07:00:00 PM,4.50,70.70
34,12/29/23 08:00:00 PM,4.49,70.56
35,12/29/23 09:00:00 PM,4.55,70.41
36,12/29/23 10:00:00 PM,4.56,70.30
37,12/29/23 11:00:00 PM,4.61,70.23
38,12/30/23 12:00:00 AM,4.64,70.12
39,12/30/23 01:00:00 AM,4.65,70.09
40,12/30/23 02:00:00 AM,4.65,70.05
41,12/30/23 03:00:00 AM,4.67,70.02
42,12/30/23 04:00:00 AM,4.66,69.98
43,12/30/23 05:00:00 AM,4.66,69.98
44,12/30/23 06:00:00 AM,4.69,69.94
45,12/30/23 07:00:00 AM,4.69,69.94
46,12/30/23 08:00:00 AM,4.69,69.98
47,12/30/23 09:00:00 AM,4.94,70.09
48,12/30/23 10:00:00 AM,5.18,70.34
49,12/30/23 11:00:00 AM,5.33,70.81
50,12/30/23 12:00:00 PM,5.48,71.17
51,12/30/23 01:00:00 PM,5.57,71.60
52,12/30/23 02:00:00 PM,5.57,71.74
53,12/30/23 03:00:00 PM,5.36,71.71
54,12/30/23 04:00:00 PM,5.20,71.60
55,12/30/23 05:00:00 PM,4.97,71.31
56,12/30/23 06:00:00 PM,4.75,71.06
57,12/30/23 07:00:00 PM,4.57,70.81
58,12/30/23 08:00:00 PM,4.53,70.74
59,12/30/23 09:00:00 PM,4.57,70.59
60,12/30/23 10:00:00 PM,4.54,70.52
61,12/30/23 11:00:00 PM,4.58,70.41
62,12/31/23 12:00:00 AM,4.63,70.34
63,12/31/23 01:00:00 AM,4.63,70.30
64,12/31/23 02:00:00 AM,4.66,70.23
65,12/31/23 03:00:00 AM,4.68,70.16
66,12/31/23 04:00:00 AM,4.69,70.12
67,12/31/23 05:00:00 AM,4.72,70.09
68,12/31/23 06:00:00 AM,4.72,70.02
69,12/31/23 07:00:00 AM,4.75,70.05
70,12/31/23 08:00:00 AM,4.78,70.05
71,12/31/23 09:00:00 AM,4.99,70.12
72,12/31/23 10:00:00 AM,5.21,70.38
73,12/31/23 11:00:00 AM,5.46,70.88
74,12/31/23 12:00:00 PM,5.57,71.31
75,12/31/23 01:00:00 PM,5.70,71.82
76,12/31/23 02:00:00 PM,5.67,72.00
77,12/31/23 03:00:00 PM,5.51,71.96
78,12/31/23 04:00:00 PM,5.21,71.85
79,12/31/23 05:00:00 PM,4.92,71.60
80,12/31/23 06:00:00 PM,4.61,71.35
81,12/31/23 07:00:00 PM,4.47,71.17
82,12/31/23 08:00:00 PM,4.47,70.99
83,12/31/23 09:00:00 PM,4.56,70.81
84,12/31/23 10:00:00 PM,4.55,70.70
85,12/31/23 11:00:00 PM,4.56,70.66
86,01/01/24 12:00:00 AM,4.61,70.52
87,01/01/24 01:00:00 AM,4.64,70.48
88,01/01/24 02:00:00 AM,4.67,70.41
89,01/01/24 03:00:00 AM,4.67,70.41
90,01/01/24 04:00:00 AM,4.69,70.38
91,01/01/24 05:00:00 AM,4.68,70.34
92,01/01/24 06:00:00 AM,4.71,70.34
93,01/01/24 07:00:00 AM,4.71,70.38
94,01/01/24 08:00:00 AM,4.76,70.41
95,01/01/24 09:00:00 AM,4.92,70.56
96,01/01/24 10:00:00 AM,5.12,70.88
97,01/01/24 11:00:00 AM,5.38,71.42
98,01/01/24 12:00:00 PM,5.54,71.89
99,01/01/24 01:00:00 PM,5.70,72.39
100,01/01/24 02:00:00 PM,5.67,72.57
101,01/01/24 03:00:00 PM,5.52,72.50
102,01/01/24 04:00:00 PM,5.28,72.32
103,01/01/24 05:00:00 PM,4.99,72.14
104,01/01/24 06:00:00 PM,4.59,71.85
105,01/01/24 07:00:00 PM,4.37,71.64
106,01/01/24 08:00:00 PM,4.32,71.49
107,01/01/24 09:00:00 PM,4.36,71.35
108,01/01/24 10:00:00 PM,4.41,71.24
109,01/01/24 11:00:00 PM,4.42,71.20
110,01/02/24 12:00:00 AM,4.40,71.17
111,01/02/24 01:00:00 AM,4.40,71.17
112,01/02/24 02:00:00 AM,4.43,71.06
113,01/02/24 03:00:00 AM,4.50,70.92
114,01/02/24 04:00:00 AM,4.56,70.77
115,01/02/24 05:00:00 AM,4.63,70.66
116,01/02/24 06:00:00 AM,4.69,70.56
117,01/02/24 07:00:00 AM,4.77,70.41
118,01/02/24 08:00:00 AM,4.84,70.34
119,01/02/24 09:00:00 AM,5.08,70.34
120,01/02/24 10:00:00 AM,5.32,70.45
121,01/02/24 11:00:00 AM,5.67,70.84
122,01/02/24 12:00:00 PM,5.90,71.28
123,01/02/24 01:00:00 PM,5.99,71.78
124,01/02/24 02:00:00 PM,6.00,71.96
125,01/02/24 03:00:00 PM,5.84,71.92
126,01/02/24 04:00:00 PM,5.64,71.74
127,01/02/24 05:00:00 PM,5.27,71.49
128,01/02/24 06:00:00 PM,4.87,71.28
129,01/02/24 07:00:00 PM,4.68,71.06
130,01/02/24 08:00:00 PM,4.66,70.92
131,01/02/24 09:00:00 PM,4.74,70.77
132,01/02/24 10:00:00 PM,4.74,70.74
133,01/02/24 11:00:00 PM,4.79,70.59
134,01/03/24 12:00:00 AM,4.79,70.56
135,01/03/24 01:00:00 AM,4.82,70.52
136,01/03/24 02:00:00 AM,4.82,70.48
137,01/03/24 03:00:00 AM,4.87,70.45
138,01/03/24 04:00:00 AM,4.88,70.45
139,01/03/24 05:00:00 AM,4.85,70.41
140,01/03/24 06:00:00 AM,4.90,70.41
141,01/03/24 07:00:00 AM,4.90,70.34
142,01/03/24 08:00:00 AM,4.93,70.34
143,01/03/24 09:00:00 AM,5.30,70.45
144,01/03/24 10:00:00 AM,5.56,70.66
145,01/03/24 11:00:00 AM,5.81,71.13
146,01/03/24 12:00:00 PM,6.02,71.60
147,01/03/24 01:00:00 PM,6.20,71.96
148,01/03/24 02:00:00 PM,6.16,72.14
149,01/03/24 03:00:00 PM,6.08,72.18
150,01/03/24 04:00:00 PM,5.54,72.07
151,01/03/24 05:00:00 PM,4.94,71.89
152,01/03/24 06:00:00 PM,4.62,71.67
153,01/03/24 07:00:00 PM,4.47,71.56
154,01/03/24 08:00:00 PM,4.42,71.46
155,01/03/24 09:00:00 PM,4.40,71.42
156,01/03/24 10:00:00 PM,4.43,71.38
157,01/03/24 11:00:00 PM,4.42,71.31
158,01/04/24 12:00:00 AM,4.47,71.28
159,01/04/24 01:00:00 AM,4.52,71.20
160,01/04/24 02:00:00 AM,4.52,71.13
161,01/04/24 03:00:00 AM,4.44,70.99
162,01/04/24 04:00:00 AM,4.37,70.99
163,01/04/24 05:00:00 AM,4.47,70.95
164,01/04/24 06:00:00 AM,4.56,70.92
165,01/04/24 07:00:00 AM,4.65,70.84
166,01/04/24 08:00:00 AM,4.82,70.84
167,01/04/24 09:00:00 AM,5.06,70.84
168,01/04/24 10:00:00 AM,5.37,70.92
169,01/04/24 11:00:00 AM,5.82,71.28
170,01/04/24 12:00:00 PM,6.08,71.60
171,01/04/24 01:00:00 PM,6.32,72.07
172,01/04/24 02:00:00 PM,6.35,72.25
173,01/04/24 03:00:00 PM,6.16,72.18
174,01/04/24 04:00:00 PM,5.90,72.00
175,01/04/24 05:00:00 PM,5.49,71.71
176,01/04/24 06:00:00 PM,5.01,71.49
177,01/04/24 07:00:00 PM,4.77,71.31
178,01/04/24 08:00:00 PM,4.76,71.17
179,01/04/24 09:00:00 PM,4.79,71.02
180,01/04/24 10:00:00 PM,4.83,70.88
181,01/04/24 11:00:00 PM,4.84,70.84
182,01/05/24 12:00:00 AM,4.88,70.77
183,01/05/24 01:00:00 AM,4.91,70.70
184,01/05/24 02:00:00 AM,4.93,70.66
185,01/05/24 03:00:00 AM,4.94,70.63
186,01/05/24 04:00:00 AM,4.97,70.66
187,01/05/24 05:00:00 AM,4.97,70.63
188,01/05/24 06:00:00 AM,4.95,70.66
189,01/05/24 07:00:00 AM,4.98,70.70
190,01/05/24 08:00:00 AM,5.02,70.70
191,01/05/24 09:00:00 AM,5.21,70.84
192,01/05/24 10:00:00 AM,5.49,71.10
193,01/05/24 11:00:00 AM,5.94,71.56
194,01/05/24 12:00:00 PM,6.11,71.96
195,01/05/24 01:00:00 PM,6.31,72.54
196,01/05/24 02:00:00 PM,6.31,72.75
197,01/05/24 03:00:00 PM,6.14,72.72
198,01/05/24 04:00:00 PM,5.75,72.57
199,01/05/24 05:00:00 PM,5.35,72.28
200,01/05/24 06:00:00 PM,4.83,72.07
201,01/05/24 07:00:00 PM,4.56,71.92
202,01/05/24 08:00:00 PM,4.50,71.85
203,01/05/24 09:00:00 PM,4.51,71.82
204,01/05/24 10:00:00 PM,4.51,71.78
205,01/05/24 11:00:00 PM,4.49,71.78
206,01/06/24 12:00:00 AM,4.48,71.82
207,01/06/24 01:00:00 AM,4.45,71.85
208,01/06/24 02:00:00 AM,4.43,71.92
209,01/06/24 03:00:00 AM,4.39,71.92
210,01/06/24 04:00:00 AM,4.41,72.00
211,01/06/24 05:00:00 AM,4.38,71.96
212,01/06/24 06:00:00 AM,4.54,71.92
213,01/06/24 07:00:00 AM,4.37,71.92
214,01/06/24 08:00:00 AM,4.28,71.96
215,01/06/24 09:00:00 AM,4.40,72.07
216,01/06/24 10:00:00 AM,5.02,72.28
