Date,LowRangeSpC,FullRangeSpC,Temp,,,
2022-03-28 11:00,524.2,527.2,73.87,,,
2022-03-28 12:00,526.7,529.8,74.26,,,
2022-03-28 13:00,529.2,532.1,74.64,,,
2022-03-28 14:00,531.4,534.8,75,,,
2022-03-28 15:00,532.7,536.3,75.2,,,
2022-03-28 16:00,533.2,536.3,75.24,,,
2022-03-28 17:00,532.7,536,75.13,,,
2022-03-28 18:00,531.6,534.8,74.89,,,
2022-03-28 19:00,529.7,532.9,74.59,,,
2022-03-28 20:00,527.9,531,74.26,,,
2022-03-28 21:00,527,530.7,74.05,,,
2022-03-28 22:00,525.8,529.2,73.85,,,
2022-03-28 23:00,524.6,528,73.67,,,
2022-03-29 00:00,523.8,526.9,73.58,,,
2022-03-29 01:00,523.3,526.5,73.49,,,
2022-03-29 02:00,523,526.1,73.42,,,
2022-03-29 03:00,522.8,525.7,73.33,,,
2022-03-29 04:00,522.6,524.9,73.29,,,
2022-03-29 05:00,522.3,525.4,73.24,,,
2022-03-29 06:00,522.4,525,73.18,,,
2022-03-29 07:00,522.4,525,73.15,,,
2022-03-29 08:00,522.4,524.6,73.11,,,
2022-03-29 09:00,523.2,525.8,73.2,,,
2022-03-29 10:00,524.2,526.1,73.33,,,
2022-03-29 11:00,526.4,528.8,73.67,,,
2022-03-29 12:00,529.2,531.5,74.08,,,
2022-03-29 13:00,531.9,534.2,74.5,,,
2022-03-29 14:00,534.3,536.9,74.84,,,
2022-03-29 15:00,536,538,75.06,,,
2022-03-29 16:00,537,539.1,75.2,,,
2022-03-29 17:00,536.8,538.8,75.15,,,
2022-03-29 18:00,535.8,538,74.97,,,
2022-03-29 19:00,534.5,536.9,74.71,,,
2022-03-29 20:00,533.1,535,74.43,,,
2022-03-29 21:00,531.9,533.9,74.17,,,
2022-03-29 22:00,530.7,532.7,73.94,,,
2022-03-29 23:00,528.9,530.8,73.71,,,
2022-03-30 00:00,527.7,530.1,73.53,,,
2022-03-30 01:00,526.7,528.5,73.44,,,
2022-03-30 02:00,526.3,528.5,73.35,,,
2022-03-30 03:00,526.4,528.1,73.36,,,
2022-03-30 04:00,526.2,528.5,73.35,,,
2022-03-30 05:00,526.1,528.1,73.33,,,
2022-03-30 06:00,525.8,527.7,73.29,,,
2022-03-30 07:00,525.9,528.2,73.27,,,
2022-03-30 08:00,525.8,527.8,73.27,,,
2022-03-30 09:00,526.6,528.9,73.36,,,
2022-03-30 10:00,527.7,529.7,73.54,,,
2022-03-30 11:00,529.7,531.6,73.85,,,
2022-03-30 12:00,531.6,533.9,74.14,,,
2022-03-30 13:00,533.9,536.2,74.53,,,
2022-03-30 14:00,536.3,538.4,74.89,,,
2022-03-30 15:00,537.6,539.6,75.11,,,
2022-03-30 16:00,538.5,540.7,75.2,,,
2022-03-30 17:00,538.4,540.7,75.18,,,
2022-03-30 18:00,537.6,539.6,75.04,,,
2022-03-30 19:00,536.5,538.9,74.84,,,
2022-03-30 20:00,535.2,537.3,74.61,,,
2022-03-30 21:00,534.2,536.2,74.39,,,
2022-03-30 22:00,533.4,535.5,74.21,,,
2022-03-30 23:00,532.4,534.7,74.05,,,
2022-03-31 00:00,531.7,534,73.92,,,
2022-03-31 01:00,530.6,532.4,73.83,,,
2022-03-31 02:00,530.6,532.4,73.74,,,
2022-03-31 03:00,529.9,532,73.67,,,
2022-03-31 04:00,529.7,532,73.62,,,
2022-03-31 05:00,529.4,531.7,73.6,,,
2022-03-31 06:00,529.4,531.7,73.6,,,
2022-03-31 07:00,529.5,531.7,73.58,,,
2022-03-31 08:00,529.4,531.7,73.58,,,
2022-03-31 09:00,529.6,531.7,73.6,,,
2022-03-31 10:00,529.6,531.6,73.62,,,
2022-03-31 11:00,530.5,532.8,73.71,,,
2022-03-31 12:00,529.9,532,73.76,,,
2022-03-31 13:00,530.7,532.8,73.8,,,
2022-03-31 14:00,527.6,529.6,73.85,,,
2022-03-31 15:00,523.9,526.4,73.8,,,
2022-03-31 16:00,520.9,523.2,73.76,,,
2022-03-31 17:00,517.1,519.2,73.67,,,
2022-03-31 18:00,512.5,514.5,73.54,,,
2022-03-31 19:00,512.1,513.7,73.51,,,
2022-03-31 20:00,517.2,519.3,73.53,,,
2022-03-31 21:00,520.4,522.1,73.53,,,
2022-03-31 22:00,520.9,522.9,73.51,,,
2022-03-31 23:00,522.6,524.1,73.53,,,
2022-04-01 00:00,519.3,521.3,73.51,,,
2022-04-01 01:00,522.6,524.9,73.53,,,
2022-04-01 02:00,521.8,524.1,73.49,,,
2022-04-01 03:00,525.4,527.7,73.54,,,
2022-04-01 04:00,517.1,519.3,73.42,,,
2022-04-01 05:00,525.8,527.7,73.54,,,
2022-04-01 06:00,525.5,527.3,73.51,,,
2022-04-01 07:00,525.9,527.7,73.45,,,
2022-04-01 08:00,526.4,528.5,73.44,,,
2022-04-01 09:00,528.8,530.9,73.49,,,
2022-04-01 10:00,529.4,530.9,73.53,,,
2022-04-01 11:00,530.8,532.8,73.69,,,
2022-04-01 12:00,532.6,534.3,73.99,,,
2022-04-01 12:29,,,,Logged,,
2022-04-01 12:29,,,,,Logged,Logged
