"Plot Title: AllenMill_stage"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248108, SEN S/N: 21248108)","Temp, °F (LGR S/N: 21248108, SEN S/N: 21248108)"
1,04/26/23 12:00:00 PM,15.2240,74.619
2,04/26/23 01:00:00 PM,15.2224,70.824
3,04/26/23 02:00:00 PM,15.2092,70.651
4,04/26/23 03:00:00 PM,15.1924,70.651
5,04/26/23 04:00:00 PM,15.1815,70.651
6,04/26/23 05:00:00 PM,15.1862,70.651
7,04/26/23 06:00:00 PM,15.1908,70.651
8,04/26/23 07:00:00 PM,15.1892,70.651
9,04/26/23 08:00:00 PM,15.1960,70.480
10,04/26/23 09:00:00 PM,15.2100,70.480
11,04/26/23 10:00:00 PM,15.2121,70.308
12,04/26/23 11:00:00 PM,15.2029,70.308
13,04/27/23 12:00:00 AM,15.2059,70.308
14,04/27/23 01:00:00 AM,15.1973,70.137
15,04/27/23 02:00:00 AM,15.1881,70.137
16,04/27/23 03:00:00 AM,15.1872,69.964
17,04/27/23 04:00:00 AM,15.1779,69.964
18,04/27/23 05:00:00 AM,15.1702,69.964
19,04/27/23 06:00:00 AM,15.1826,69.964
20,04/27/23 07:00:00 AM,15.1770,69.793
21,04/27/23 08:00:00 AM,15.1863,69.793
22,04/27/23 09:00:00 AM,15.1770,69.793
23,04/27/23 10:00:00 AM,15.1663,69.793
24,04/27/23 11:00:00 AM,15.1657,69.964
25,04/27/23 12:00:00 PM,15.1611,69.964
26,04/27/23 01:00:00 PM,15.1466,70.137
27,04/27/23 02:00:00 PM,15.1235,70.137
28,04/27/23 03:00:00 PM,15.1167,70.308
29,04/27/23 04:00:00 PM,15.1044,70.308
30,04/27/23 05:00:00 PM,15.1060,70.308
31,04/27/23 06:00:00 PM,15.1260,70.308
32,04/27/23 07:00:00 PM,15.1582,70.308
33,04/27/23 08:00:00 PM,15.1466,70.137
34,04/27/23 09:00:00 PM,15.1081,70.137
35,04/27/23 10:00:00 PM,15.1419,70.137
36,04/27/23 11:00:00 PM,15.1334,69.964
37,04/28/23 12:00:00 AM,15.1257,69.964
38,04/28/23 01:00:00 AM,15.1180,69.964
39,04/28/23 02:00:00 AM,15.1073,69.964
40,04/28/23 03:00:00 AM,15.0996,69.964
41,04/28/23 04:00:00 AM,15.1079,69.793
42,04/28/23 05:00:00 AM,15.1095,69.793
43,04/28/23 06:00:00 AM,15.1186,69.793
44,04/28/23 07:00:00 AM,15.1248,69.793
45,04/28/23 08:00:00 AM,15.1340,69.793
46,04/28/23 09:00:00 AM,15.1356,69.793
47,04/28/23 10:00:00 AM,15.1318,69.964
48,04/28/23 11:00:00 AM,15.1241,69.964
49,04/28/23 12:00:00 PM,15.1173,70.137
50,04/28/23 01:00:00 PM,15.1044,70.308
51,04/28/23 02:00:00 PM,15.1038,70.480
52,04/28/23 03:00:00 PM,15.0923,70.651
53,04/28/23 04:00:00 PM,15.0868,70.480
54,04/28/23 05:00:00 PM,15.0893,70.651
55,04/28/23 06:00:00 PM,15.0838,70.480
56,04/28/23 07:00:00 PM,15.0884,70.480
57,04/28/23 08:00:00 PM,15.0931,70.480
58,04/28/23 09:00:00 PM,15.0976,70.480
59,04/28/23 10:00:00 PM,15.0992,70.480
60,04/28/23 11:00:00 PM,15.1013,70.308
61,04/29/23 12:00:00 AM,15.1029,70.308
62,04/29/23 01:00:00 AM,15.0983,70.308
63,04/29/23 02:00:00 AM,15.0920,70.308
64,04/29/23 03:00:00 AM,15.0844,70.308
65,04/29/23 04:00:00 AM,15.0890,70.308
66,04/29/23 05:00:00 AM,15.0912,70.137
67,04/29/23 06:00:00 AM,15.0989,70.137
68,04/29/23 07:00:00 AM,15.1019,70.137
69,04/29/23 08:00:00 AM,15.0912,70.137
70,04/29/23 09:00:00 AM,15.0897,70.137
71,04/29/23 10:00:00 AM,15.0835,70.137
72,04/29/23 11:00:00 AM,15.0681,70.137
73,04/29/23 12:00:00 PM,15.0629,70.308
74,04/29/23 01:00:00 PM,15.0668,70.480
75,04/29/23 02:00:00 PM,15.0846,70.651
76,04/29/23 03:00:00 PM,15.0909,70.651
77,04/29/23 04:00:00 PM,15.0978,70.824
78,04/29/23 05:00:00 PM,15.0548,70.824
79,04/29/23 06:00:00 PM,15.0385,70.651
80,04/29/23 07:00:00 PM,15.0185,70.651
81,04/29/23 08:00:00 PM,15.0139,70.651
82,04/29/23 09:00:00 PM,15.0130,70.480
83,04/29/23 10:00:00 PM,15.0160,70.480
84,04/29/23 11:00:00 PM,15.0116,70.480
85,04/30/23 12:00:00 AM,15.0007,70.480
86,04/30/23 01:00:00 AM,14.9930,70.480
87,04/30/23 02:00:00 AM,14.9721,70.308
88,04/30/23 03:00:00 AM,14.9630,70.308
89,04/30/23 04:00:00 AM,14.9783,70.308
90,04/30/23 05:00:00 AM,14.9783,70.308
91,04/30/23 06:00:00 AM,14.9830,70.308
92,04/30/23 07:00:00 AM,14.9984,70.308
93,04/30/23 08:00:00 AM,15.0105,70.308
94,04/30/23 09:00:00 AM,15.0229,70.308
95,04/30/23 10:00:00 AM,15.0336,70.308
96,04/30/23 11:00:00 AM,15.0368,70.308
97,04/30/23 12:00:00 PM,15.0291,70.308
98,04/30/23 01:00:00 PM,15.0361,70.480
99,04/30/23 02:00:00 PM,15.0339,70.651
100,04/30/23 03:00:00 PM,15.0317,70.824
101,04/30/23 04:00:00 PM,15.0287,70.824
102,04/30/23 05:00:00 PM,15.0295,70.995
103,04/30/23 06:00:00 PM,15.0326,70.995
104,04/30/23 07:00:00 PM,15.0410,70.824
105,04/30/23 08:00:00 PM,15.0517,70.824
106,04/30/23 09:00:00 PM,15.0646,70.651
