"Plot Title: Ichetucknee"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248119, SEN S/N: 21248119)","Temp, °F (LGR S/N: 21248119, SEN S/N: 21248119)"
1,09/07/23 01:00:00 PM,16.5210,72.718
2,09/07/23 02:00:00 PM,16.5086,72.718
3,09/07/23 03:00:00 PM,16.4964,72.718
4,09/07/23 04:00:00 PM,16.4846,72.891
5,09/07/23 05:00:00 PM,16.4846,72.891
6,09/07/23 06:00:00 PM,16.4972,73.062
7,09/07/23 07:00:00 PM,16.5059,73.062
8,09/07/23 08:00:00 PM,16.5168,73.234
9,09/07/23 09:00:00 PM,16.5237,73.234
10,09/07/23 10:00:00 PM,16.5329,73.407
11,09/07/23 11:00:00 PM,16.5241,73.407
12,09/08/23 12:00:00 AM,16.5189,73.407
13,09/08/23 01:00:00 AM,16.5241,73.407
14,09/08/23 02:00:00 AM,16.5189,73.407
15,09/08/23 03:00:00 AM,16.5189,73.407
16,09/08/23 04:00:00 AM,16.5202,73.234
17,09/08/23 05:00:00 AM,16.5272,73.234
18,09/08/23 06:00:00 AM,16.5391,73.062
19,09/08/23 07:00:00 AM,16.5497,73.062
20,09/08/23 08:00:00 AM,16.5668,72.891
21,09/08/23 09:00:00 AM,16.5507,72.718
22,09/08/23 10:00:00 AM,16.5401,72.718
23,09/08/23 11:00:00 AM,16.5455,72.718
24,09/08/23 12:00:00 PM,16.5381,72.545
25,09/08/23 01:00:00 PM,16.5398,72.545
26,09/08/23 02:00:00 PM,16.5363,72.545
27,09/08/23 03:00:00 PM,16.5192,72.718
28,09/08/23 04:00:00 PM,16.5192,72.718
29,09/08/23 05:00:00 PM,16.5173,72.718
30,09/08/23 06:00:00 PM,16.5297,72.718
31,09/08/23 07:00:00 PM,16.5265,72.891
32,09/08/23 08:00:00 PM,16.5388,72.891
33,09/08/23 09:00:00 PM,16.5475,72.891
34,09/08/23 10:00:00 PM,16.5510,72.891
35,09/08/23 11:00:00 PM,16.5458,72.891
36,09/09/23 12:00:00 AM,16.5388,72.891
37,09/09/23 01:00:00 AM,16.5371,72.891
38,09/09/23 02:00:00 AM,16.5318,72.891
39,09/09/23 03:00:00 AM,16.5282,72.891
40,09/09/23 04:00:00 AM,16.5282,72.891
41,09/09/23 05:00:00 AM,16.5314,72.718
42,09/09/23 06:00:00 AM,16.5420,72.718
43,09/09/23 07:00:00 AM,16.5485,72.545
44,09/09/23 08:00:00 AM,16.5574,72.545
45,09/09/23 09:00:00 AM,16.5537,72.545
46,09/09/23 10:00:00 AM,16.5643,72.545
47,09/09/23 11:00:00 AM,16.5621,72.372
48,09/09/23 12:00:00 PM,16.5569,72.372
49,09/09/23 01:00:00 PM,16.5534,72.372
50,09/09/23 02:00:00 PM,16.5376,72.372
51,09/09/23 03:00:00 PM,16.5311,72.545
52,09/09/23 04:00:00 PM,16.5205,72.545
53,09/09/23 05:00:00 PM,16.5240,72.545
54,09/09/23 06:00:00 PM,16.5257,72.545
55,09/09/23 07:00:00 PM,16.5297,72.718
56,09/09/23 08:00:00 PM,16.5349,72.718
57,09/09/23 09:00:00 PM,16.5472,72.718
58,09/09/23 10:00:00 PM,16.5524,72.718
59,09/09/23 11:00:00 PM,16.5510,72.891
60,09/10/23 12:00:00 AM,16.5458,72.891
61,09/10/23 01:00:00 AM,16.5423,72.891
62,09/10/23 02:00:00 AM,16.5405,72.891
63,09/10/23 03:00:00 AM,16.5388,72.891
64,09/10/23 04:00:00 AM,16.5384,72.718
65,09/10/23 05:00:00 AM,16.5401,72.718
66,09/10/23 06:00:00 AM,16.5450,72.545
67,09/10/23 07:00:00 AM,16.5556,72.545
68,09/10/23 08:00:00 AM,16.5591,72.545
69,09/10/23 09:00:00 AM,16.5675,72.372
70,09/10/23 10:00:00 AM,16.5710,72.372
71,09/10/23 11:00:00 AM,16.5706,72.199
72,09/10/23 12:00:00 PM,16.5675,72.372
73,09/10/23 01:00:00 PM,16.5587,72.372
74,09/10/23 02:00:00 PM,16.5552,72.372
75,09/10/23 03:00:00 PM,16.5468,72.545
76,09/10/23 04:00:00 PM,16.5381,72.545
77,09/10/23 05:00:00 PM,16.5401,72.718
78,09/10/23 06:00:00 PM,16.5437,72.718
79,09/10/23 07:00:00 PM,16.5472,72.718
80,09/10/23 08:00:00 PM,16.5581,72.891
81,09/10/23 09:00:00 PM,16.5633,72.891
82,09/10/23 10:00:00 PM,16.5655,73.062
83,09/10/23 11:00:00 PM,16.5707,73.062
84,09/11/23 12:00:00 AM,16.5707,73.062
85,09/11/23 01:00:00 AM,16.5619,73.062
86,09/11/23 02:00:00 AM,16.5549,73.062
87,09/11/23 03:00:00 AM,16.5532,73.062
88,09/11/23 04:00:00 AM,16.5510,72.891
89,09/11/23 05:00:00 AM,16.5563,72.891
90,09/11/23 06:00:00 AM,16.5646,72.718
91,09/11/23 07:00:00 AM,16.5665,72.718
92,09/11/23 08:00:00 AM,16.5700,72.718
93,09/11/23 09:00:00 AM,16.5748,72.545
94,09/11/23 10:00:00 AM,16.5784,72.545
