"Plot Title: Little_Fanning"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248123, SEN S/N: 21248123)","Temp, °F (LGR S/N: 21248123, SEN S/N: 21248123)"
1,11/09/23 01:00:00 PM,15.1689,73.407
2,11/09/23 02:00:00 PM,15.2066,73.753
3,11/09/23 03:00:00 PM,15.2282,74.098
4,11/09/23 04:00:00 PM,15.2303,74.271
5,11/09/23 05:00:00 PM,15.2219,74.098
6,11/09/23 06:00:00 PM,15.2066,73.753
7,11/09/23 07:00:00 PM,15.1801,73.407
8,11/09/23 08:00:00 PM,15.1421,72.891
9,11/09/23 09:00:00 PM,15.0992,72.372
10,11/09/23 10:00:00 PM,15.0823,72.028
11,11/09/23 11:00:00 PM,15.1073,71.683
12,11/10/23 12:00:00 AM,15.1583,71.512
13,11/10/23 01:00:00 AM,15.2224,71.512
14,11/10/23 02:00:00 AM,15.2735,71.339
15,11/10/23 03:00:00 AM,15.3024,71.339
16,11/10/23 04:00:00 AM,15.3053,71.168
17,11/10/23 05:00:00 AM,15.2984,70.995
18,11/10/23 06:00:00 AM,15.2871,70.995
19,11/10/23 07:00:00 AM,15.2535,70.995
20,11/10/23 08:00:00 AM,15.2053,70.995
21,11/10/23 09:00:00 AM,15.1556,70.995
22,11/10/23 10:00:00 AM,15.1002,71.339
23,11/10/23 11:00:00 AM,15.0751,72.372
24,11/10/23 12:00:00 PM,15.0983,73.407
25,11/10/23 01:00:00 PM,15.1483,74.271
26,11/10/23 02:00:00 PM,15.2037,74.619
27,11/10/23 03:00:00 PM,15.2510,74.964
28,11/10/23 04:00:00 PM,15.2780,74.791
29,11/10/23 05:00:00 PM,15.2789,74.446
30,11/10/23 06:00:00 PM,15.2732,74.098
31,11/10/23 07:00:00 PM,15.2543,73.580
32,11/10/23 08:00:00 PM,15.2239,72.891
33,11/10/23 09:00:00 PM,15.1746,72.372
34,11/10/23 10:00:00 PM,15.1305,72.028
35,11/10/23 11:00:00 PM,15.1141,71.856
36,11/11/23 12:00:00 AM,15.1459,71.683
37,11/11/23 01:00:00 AM,15.1952,71.512
38,11/11/23 02:00:00 AM,15.2497,71.512
39,11/11/23 03:00:00 AM,15.3024,71.339
40,11/11/23 04:00:00 AM,15.3232,71.339
41,11/11/23 05:00:00 AM,15.3153,71.339
42,11/11/23 06:00:00 AM,15.2992,71.339
43,11/11/23 07:00:00 AM,15.2719,71.339
44,11/11/23 08:00:00 AM,15.2306,71.512
45,11/11/23 09:00:00 AM,15.1811,71.683
46,11/11/23 10:00:00 AM,15.1164,72.199
47,11/11/23 11:00:00 AM,15.0526,73.062
48,11/11/23 12:00:00 PM,15.0227,74.098
49,11/11/23 01:00:00 PM,15.0516,74.791
50,11/11/23 02:00:00 PM,15.1038,75.139
51,11/11/23 03:00:00 PM,15.1620,75.312
52,11/11/23 04:00:00 PM,15.2097,75.139
53,11/11/23 05:00:00 PM,15.2346,74.791
54,11/11/23 06:00:00 PM,15.2435,74.446
55,11/11/23 07:00:00 PM,15.2295,73.926
56,11/11/23 08:00:00 PM,15.2014,73.580
57,11/11/23 09:00:00 PM,15.1601,73.062
58,11/11/23 10:00:00 PM,15.1176,72.718
59,11/11/23 11:00:00 PM,15.0767,72.372
60,11/12/23 12:00:00 AM,15.0759,72.028
61,11/12/23 01:00:00 AM,15.1032,72.028
62,11/12/23 02:00:00 AM,15.1606,71.856
63,11/12/23 03:00:00 AM,15.2040,71.856
64,11/12/23 04:00:00 AM,15.2229,71.683
65,11/12/23 05:00:00 AM,15.2133,71.683
66,11/12/23 06:00:00 AM,15.1936,71.512
67,11/12/23 07:00:00 AM,15.1531,71.339
68,11/12/23 08:00:00 AM,15.1154,70.995
69,11/12/23 09:00:00 AM,15.0701,70.824
70,11/12/23 10:00:00 AM,15.0216,70.651
71,11/12/23 11:00:00 AM,14.9554,70.480
72,11/12/23 12:00:00 PM,14.9170,70.480
73,11/12/23 01:00:00 PM,14.9239,71.512
74,11/12/23 02:00:00 PM,14.9872,72.545
75,11/12/23 03:00:00 PM,15.0458,72.891
76,11/12/23 04:00:00 PM,15.0939,72.891
77,11/12/23 05:00:00 PM,15.1285,72.545
78,11/12/23 06:00:00 PM,15.1373,72.199
79,11/12/23 07:00:00 PM,15.1218,71.683
80,11/12/23 08:00:00 PM,15.0918,71.168
81,11/12/23 09:00:00 PM,15.0536,70.651
82,11/12/23 10:00:00 PM,15.0160,70.308
83,11/12/23 11:00:00 PM,14.9696,69.622
84,11/13/23 12:00:00 AM,14.9669,69.107
85,11/13/23 01:00:00 AM,15.0342,69.793
86,11/13/23 02:00:00 AM,15.1087,70.137
87,11/13/23 03:00:00 AM,15.1572,70.308
88,11/13/23 04:00:00 AM,15.1765,70.308
89,11/13/23 05:00:00 AM,15.1696,70.137
90,11/13/23 06:00:00 AM,15.1421,69.964
91,11/13/23 07:00:00 AM,15.1083,69.964
92,11/13/23 08:00:00 AM,15.0646,69.793
93,11/13/23 09:00:00 AM,15.0194,69.622
94,11/13/23 10:00:00 AM,14.9685,69.107
95,11/13/23 11:00:00 AM,14.9221,68.421
96,11/13/23 12:00:00 PM,14.8754,67.564
97,11/13/23 01:00:00 PM,14.8529,67.564
98,11/13/23 02:00:00 PM,14.8336,67.564
99,11/13/23 03:00:00 PM,14.8401,67.564
100,11/13/23 04:00:00 PM,14.8739,69.107
101,11/13/23 05:00:00 PM,14.9119,69.622
102,11/13/23 06:00:00 PM,14.9331,69.793
103,11/13/23 07:00:00 PM,14.9335,69.278
104,11/13/23 08:00:00 PM,14.9173,68.421
105,11/13/23 09:00:00 PM,14.8894,67.392
106,11/13/23 10:00:00 PM,14.8659,66.193
107,11/13/23 11:00:00 PM,14.8553,64.996
108,11/14/23 12:00:00 AM,14.8435,64.652
109,11/14/23 01:00:00 AM,14.8255,64.481
110,11/14/23 02:00:00 AM,14.8852,66.193
111,11/14/23 03:00:00 AM,14.9689,68.592
112,11/14/23 04:00:00 AM,15.0234,69.278
113,11/14/23 05:00:00 AM,15.0269,69.449
114,11/14/23 06:00:00 AM,15.0110,69.449
115,11/14/23 07:00:00 AM,14.9789,69.449
116,11/14/23 08:00:00 AM,14.9480,69.278
117,11/14/23 09:00:00 AM,14.9052,68.763
118,11/14/23 10:00:00 AM,14.8680,68.592
119,11/14/23 11:00:00 AM,14.8371,68.421
120,11/14/23 12:00:00 PM,14.8162,68.421
121,11/14/23 01:00:00 PM,14.8026,68.763
122,11/14/23 02:00:00 PM,14.8021,68.592
123,11/14/23 03:00:00 PM,14.8015,67.564
124,11/14/23 04:00:00 PM,14.8094,66.708
125,11/14/23 05:00:00 PM,14.8709,67.735
126,11/14/23 06:00:00 PM,14.9032,68.592
127,11/14/23 07:00:00 PM,14.9092,69.107
128,11/14/23 08:00:00 PM,14.8939,68.763
129,11/14/23 09:00:00 PM,14.8800,68.248
130,11/14/23 10:00:00 PM,14.8493,67.392
131,11/14/23 11:00:00 PM,14.8227,66.193
132,11/15/23 12:00:00 AM,14.8020,65.509
133,11/15/23 01:00:00 AM,14.7997,65.167
134,11/15/23 02:00:00 AM,14.8524,67.392
135,11/15/23 03:00:00 AM,14.9608,69.278
136,11/15/23 04:00:00 AM,15.0538,69.964
137,11/15/23 05:00:00 AM,15.1247,70.137
138,11/15/23 06:00:00 AM,15.1640,70.480
139,11/15/23 07:00:00 AM,15.1660,70.651
140,11/15/23 08:00:00 AM,15.1535,70.824
141,11/15/23 09:00:00 AM,15.1183,70.824
142,11/15/23 10:00:00 AM,15.0752,70.995
143,11/15/23 11:00:00 AM,15.0127,70.995
144,11/15/23 12:00:00 PM,14.9412,71.339
145,11/15/23 01:00:00 PM,14.8703,71.168
146,11/15/23 02:00:00 PM,14.8111,70.480
147,11/15/23 03:00:00 PM,14.7843,69.964
148,11/15/23 04:00:00 PM,14.8104,70.137
149,11/15/23 05:00:00 PM,14.8683,70.995
