Date,DO,Temp
2022-04-11 10:00,4.65,74.77
2022-04-11 10:01,4.64,74.41
2022-04-11 10:02,4.66,74.16
2022-04-11 10:03,4.69,73.94
2022-04-11 10:04,4.68,73.76
2022-04-11 10:05,4.73,73.65
2022-04-11 10:06,4.76,73.54
2022-04-11 10:07,4.77,73.44
2022-04-11 10:08,4.79,73.36
2022-04-11 10:09,4.75,73.29
2022-04-11 10:10,4.76,73.26
2022-04-11 10:11,4.77,73.18
2022-04-11 10:12,4.73,73.15
2022-04-11 10:13,4.75,73.15
2022-04-11 10:14,4.73,73.11
2022-04-11 10:15,4.73,73.08
2022-04-11 10:16,4.74,73.08
2022-04-11 10:17,4.74,73.04
2022-04-11 10:18,4.76,73.04
2022-04-11 10:19,4.74,73.04
2022-04-11 10:20,4.75,73
2022-04-11 10:21,4.75,73
2022-04-11 10:22,4.82,73
2022-04-11 10:23,4.73,73
2022-04-11 10:24,4.73,73
2022-04-11 10:25,4.74,72.97
2022-04-11 10:26,4.74,72.97
2022-04-11 10:27,4.75,72.97
2022-04-11 10:28,4.78,72.97
2022-04-11 10:29,4.73,72.97
2022-04-11 10:30,4.75,72.97
2022-04-11 10:31,4.75,72.97
2022-04-11 10:32,4.75,72.97
2022-04-11 10:33,4.75,72.97
2022-04-11 10:34,4.78,72.97
2022-04-11 10:35,4.76,72.97
2022-04-11 10:36,4.75,72.97
2022-04-11 10:37,4.73,72.97
2022-04-11 10:38,4.74,72.97
2022-04-11 10:39,4.76,72.97
2022-04-11 10:40,4.76,72.97
2022-04-11 10:41,4.77,72.97
2022-04-11 10:42,4.78,72.97
2022-04-11 10:43,4.79,72.97
2022-04-11 10:44,4.74,72.97
2022-04-11 10:45,4.74,72.97
2022-04-11 10:46,4.77,72.97
2022-04-11 10:47,4.74,72.97
2022-04-11 10:48,4.74,72.97
2022-04-11 10:49,4.75,72.97
2022-04-11 10:50,4.74,72.97
2022-04-11 10:51,4.72,72.97
2022-04-11 10:52,4.72,72.97
2022-04-11 10:53,4.72,72.97
2022-04-11 10:54,4.73,72.97
2022-04-11 10:55,4.72,72.97
