Date,DO,Temp
2022-06-02 13:08,1.33,94.75
2022-06-02 13:09,1.29,90.79
2022-06-02 13:10,1.36,87.62
2022-06-02 13:11,1.42,85.17
2022-06-02 13:12,1.47,83.23
2022-06-02 13:13,1.51,81.64
2022-06-02 13:14,1.56,80.35
2022-06-02 13:15,1.59,79.27
2022-06-02 13:16,1.62,78.37
2022-06-02 13:17,1.64,77.61
2022-06-02 13:18,1.66,77
2022-06-02 13:19,1.68,76.5
2022-06-02 13:20,1.69,76.06
2022-06-02 13:21,1.7,75.7
2022-06-02 13:22,1.71,75.38
2022-06-02 13:23,1.72,75.09
2022-06-02 13:24,1.73,74.84
2022-06-02 13:25,1.74,74.66
2022-06-02 13:26,1.74,74.48
2022-06-02 13:27,1.75,74.34
2022-06-02 13:28,1.75,74.19
2022-06-02 13:29,1.76,74.08
2022-06-02 13:30,1.76,73.98
2022-06-02 13:31,1.76,73.9
2022-06-02 13:32,1.77,73.83
2022-06-02 13:33,1.77,73.76
2022-06-02 13:34,1.77,73.69
2022-06-02 13:35,1.77,73.65
2022-06-02 13:36,1.77,73.58
2022-06-02 13:37,1.77,73.54
2022-06-02 13:38,1.77,73.51
2022-06-02 13:39,1.78,73.47
2022-06-02 13:40,1.77,73.47
2022-06-02 13:41,1.78,73.44
2022-06-02 13:42,1.78,73.4
2022-06-02 13:43,1.78,73.4
2022-06-02 13:44,1.78,73.36
2022-06-02 13:45,1.77,73.36
2022-06-02 13:46,1.78,73.33
2022-06-02 13:47,1.78,73.33
2022-06-02 13:48,1.78,73.33
2022-06-02 13:49,1.78,73.29
2022-06-02 13:50,1.78,73.29
2022-06-02 13:51,1.78,73.29
2022-06-02 13:52,1.78,73.29
2022-06-02 13:53,1.78,73.29
2022-06-02 13:54,1.78,73.26
2022-06-02 13:55,1.78,73.26
2022-06-02 13:56,1.78,73.26
2022-06-02 13:57,1.78,73.26
2022-06-02 13:58,1.78,73.26
2022-06-02 13:59,1.78,73.26
2022-06-02 14:00,1.78,73.26
2022-06-02 14:01,1.78,73.26
2022-06-02 14:02,1.78,73.26
2022-06-02 14:03,1.78,73.26
2022-06-02 14:04,1.79,73.22
2022-06-02 14:05,1.78,73.22
2022-06-02 14:06,1.79,73.22
2022-06-02 14:07,1.78,73.22
2022-06-02 14:08,1.79,73.22
2022-06-02 14:09,1.78,73.22
2022-06-02 14:10,1.78,73.22
2022-06-02 14:11,1.78,73.22
2022-06-02 14:12,1.79,73.22
2022-06-02 14:13,1.78,73.22
2022-06-02 14:14,1.78,73.22
2022-06-02 14:15,1.78,73.22
2022-06-02 14:16,1.78,73.22
2022-06-02 14:17,1.78,73.22
2022-06-02 14:18,1.78,73.22
2022-06-02 14:19,1.79,73.22
2022-06-02 14:20,1.78,73.22
2022-06-02 14:21,1.79,73.22
2022-06-02 14:22,1.79,73.22
2022-06-02 14:23,1.78,73.22
2022-06-02 14:24,1.78,73.22
2022-06-02 14:25,1.79,73.22
2022-06-02 14:26,1.78,73.22
2022-06-02 14:27,1.78,73.22
2022-06-02 14:28,1.78,73.22
2022-06-02 14:29,1.78,73.22
2022-06-02 14:30,1.78,73.22
2022-06-02 14:31,1.78,73.22
2022-06-02 14:32,1.78,73.22
2022-06-02 14:33,1.78,73.22
2022-06-02 14:34,1.78,73.22
2022-06-02 14:35,1.78,73.22
2022-06-02 14:36,1.78,73.22
2022-06-02 14:37,1.78,73.22
2022-06-02 14:38,1.78,73.22
