Date,DO,Temp
2022-08-08 08:51,1.7,88.23
2022-08-08 08:52,1.51,84.74
2022-08-08 08:53,1.48,83.23
2022-08-08 08:54,1.46,81.93
2022-08-08 08:55,1.44,80.82
2022-08-08 08:56,1.32,79.84
2022-08-08 08:57,1.41,79.05
2022-08-08 08:58,1.47,78.37
2022-08-08 08:59,1.51,77.76
2022-08-08 09:00,1.51,77.22
2022-08-08 09:01,1.56,76.78
2022-08-08 09:02,1.56,76.42
2022-08-08 09:03,1.58,76.1
2022-08-08 09:04,1.48,75.78
2022-08-08 09:05,1.53,75.52
2022-08-08 09:06,1.57,75.31
2022-08-08 09:07,1.59,75.09
2022-08-08 09:08,1.6,74.91
2022-08-08 09:09,1.56,74.77
2022-08-08 09:10,1.53,74.62
2022-08-08 09:11,1.63,74.48
2022-08-08 09:12,1.63,74.37
2022-08-08 09:13,1.64,74.26
2022-08-08 09:14,1.55,74.16
2022-08-08 09:15,1.6,74.08
2022-08-08 09:16,1.62,74.05
2022-08-08 09:17,1.7,73.98
2022-08-08 09:18,1.7,73.9
2022-08-08 09:19,1.66,73.87
2022-08-08 09:20,1.69,73.8
2022-08-08 09:21,1.7,73.76
2022-08-08 09:22,1.66,73.72
2022-08-08 09:23,1.67,73.69
2022-08-08 09:24,1.66,73.65
2022-08-08 09:25,1.67,73.62
2022-08-08 09:26,1.67,73.58
2022-08-08 09:27,1.68,73.54
2022-08-08 09:28,1.69,73.54
2022-08-08 09:29,1.69,73.51
2022-08-08 09:30,1.65,73.47
2022-08-08 09:31,1.66,73.47
2022-08-08 09:32,1.67,73.44
2022-08-08 09:33,1.58,73.4
2022-08-08 09:34,1.38,73.4
2022-08-08 09:35,1.48,73.4
2022-08-08 09:36,1.46,73.36
2022-08-08 09:37,1.61,73.36
2022-08-08 09:38,1.64,73.33
2022-08-08 09:39,1.56,73.33
2022-08-08 09:40,1.46,73.33
2022-08-08 09:41,1.63,73.33
2022-08-08 09:42,1.65,73.29
2022-08-08 09:43,1.65,73.29
2022-08-08 09:44,1.68,73.29
2022-08-08 09:45,1.67,73.29
2022-08-08 09:46,1.63,73.26
2022-08-08 09:47,1.5,73.26
2022-08-08 09:48,1.49,73.26
2022-08-08 09:49,1.63,73.26
2022-08-08 09:50,1.64,73.26
2022-08-08 09:51,1.66,73.26
2022-08-08 09:52,1.67,73.26
2022-08-08 09:53,1.67,73.22
2022-08-08 09:54,1.59,73.22
2022-08-08 09:55,1.67,73.22
2022-08-08 09:56,1.63,73.22
2022-08-08 09:57,1.66,73.22
2022-08-08 09:58,1.69,73.22
2022-08-08 09:59,1.69,73.22
2022-08-08 10:00,1.72,73.22
2022-08-08 10:01,1.73,73.22
2022-08-08 10:02,1.64,73.22
2022-08-08 10:03,1.5,73.22
2022-08-08 10:04,1.55,73.22
2022-08-08 10:05,1.5,73.22
2022-08-08 10:06,1.7,73.22
2022-08-08 10:07,1.67,73.22
2022-08-08 10:08,1.71,73.22
