Date,LowRangeSpC,FullRangSpC,Temp
2022-10-17 09:20,482.5,462.7,73.4
2022-10-17 09:21,482.9,462.7,73.42
2022-10-17 09:22,483.2,463.1,73.45
2022-10-17 09:23,483.7,463.5,73.42
2022-10-17 09:24,484,463.8,73.42
2022-10-17 09:25,484.3,463.8,73.4
2022-10-17 09:26,484.7,464.2,73.4
2022-10-17 09:27,485,464.6,73.42
2022-10-17 09:28,485.3,464.6,73.4
2022-10-17 09:29,485.6,465,73.42
2022-10-17 09:30,485.8,465,73.4
2022-10-17 09:31,486.2,465.3,73.42
2022-10-17 09:32,486.4,465.3,73.42
2022-10-17 09:33,486.6,465,73.42
2022-10-17 09:34,486.7,465.3,73.42
2022-10-17 09:35,486.9,465.7,73.42
2022-10-17 09:36,487,465.7,73.42
2022-10-17 09:37,487.1,466.1,73.42
2022-10-17 09:38,487.2,466.1,73.45
2022-10-17 09:39,487.4,466.5,73.45
2022-10-17 09:40,487.5,466.5,73.42
2022-10-17 09:41,487.5,466.5,73.45
2022-10-17 09:42,487.7,466.5,73.45
2022-10-17 09:43,488,466.9,73.45
2022-10-17 09:44,488,467.2,73.42
2022-10-17 09:45,488.1,466.9,73.42
2022-10-17 09:46,488.1,466.9,73.42
2022-10-17 09:47,488.2,467.2,73.42
2022-10-17 09:48,488.2,467.2,73.42
2022-10-17 09:49,488.4,467.2,73.45
2022-10-17 09:50,488.5,467.2,73.45
2022-10-17 09:51,488.6,467.6,73.42
2022-10-17 09:52,488.6,467.6,73.42
2022-10-17 09:53,488.6,467.6,73.42
2022-10-17 09:54,488.7,467.6,73.42
2022-10-17 09:55,488.8,467.6,73.42
2022-10-17 09:56,488.9,467.6,73.42
2022-10-17 09:57,488.9,468,73.42
2022-10-17 09:58,489,468,73.4
2022-10-17 09:59,489,468,73.4
2022-10-17 10:00,489.2,468,73.42
2022-10-17 10:01,489.3,468,73.45
2022-10-17 10:02,489.4,468.4,73.45
2022-10-17 10:03,489.4,468,73.42
2022-10-17 10:04,489.6,468.4,73.42
2022-10-17 10:05,489.6,468.4,73.42
2022-10-17 10:06,489.6,468.7,73.45
2022-10-17 10:07,489.9,468.7,73.45
2022-10-17 10:08,489.8,468.7,73.45
2022-10-17 10:09,489.9,468.7,73.45
2022-10-17 10:10,489.9,468.7,73.45
2022-10-17 10:11,489.9,468.7,73.45
2022-10-17 10:12,490,468.7,73.45
2022-10-17 10:13,490.1,469.1,73.45
2022-10-17 10:14,490.2,469.1,73.45
2022-10-17 10:15,490.2,469.1,73.47
2022-10-17 10:16,490.2,469.1,73.42
2022-10-17 10:17,490.2,469.1,73.45
2022-10-17 10:18,490.2,469.1,73.45
2022-10-17 10:19,490.3,469.1,73.45
2022-10-17 10:20,490.3,469.1,73.45
2022-10-17 10:21,490.5,469.1,73.47
2022-10-17 10:22,490.5,469.5,73.47
2022-10-17 10:23,490.5,469.1,73.47
2022-10-17 10:24,490.7,469.5,73.47
2022-10-17 10:25,490.6,469.5,73.47
2022-10-17 10:26,490.8,469.9,73.49
2022-10-17 10:27,490.7,469.9,73.47
2022-10-17 10:28,490.8,469.9,73.47
2022-10-17 10:29,490.9,469.9,73.47
2022-10-17 10:30,490.9,469.9,73.45
2022-10-17 10:31,490.9,469.9,73.45
2022-10-17 10:32,491,469.9,73.45
2022-10-17 10:33,490.9,469.9,73.45
2022-10-17 10:34,491,469.9,73.42
2022-10-17 10:35,491.1,469.9,73.45
2022-10-17 10:36,491.2,469.9,73.47
