"Plot Title: LH6-2"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342060, SEN S/N: 20342060)","Full Range, μS/cm (LGR S/N: 20342060, SEN S/N: 20342060)","Temp, °F (LGR S/N: 20342060, SEN S/N: 20342060)"
1,11/16/23 11:00:00 AM,385.2,391.0,72.23
2,11/16/23 12:00:00 PM,385.2,390.6,72.23
3,11/16/23 01:00:00 PM,382.7,388.0,72.09
4,11/16/23 02:00:00 PM,383.3,388.8,72.03
5,11/16/23 03:00:00 PM,384.1,389.9,72.07
6,11/16/23 04:00:00 PM,384.4,389.9,72.07
7,11/16/23 05:00:00 PM,384.7,389.9,72.00
8,11/16/23 06:00:00 PM,384.2,389.9,71.94
9,11/16/23 07:00:00 PM,384.3,389.9,71.92
10,11/16/23 08:00:00 PM,384.5,389.9,71.94
11,11/16/23 09:00:00 PM,384.9,390.3,71.98
12,11/16/23 10:00:00 PM,384.4,389.9,71.94
13,11/16/23 11:00:00 PM,384.2,389.9,71.94
14,11/17/23 12:00:00 AM,384.3,389.9,71.92
15,11/17/23 01:00:00 AM,382.9,388.8,71.87
16,11/17/23 02:00:00 AM,384.2,389.6,71.94
17,11/17/23 03:00:00 AM,384.4,389.9,71.92
18,11/17/23 04:00:00 AM,384.6,389.9,71.96
19,11/17/23 05:00:00 AM,384.5,389.9,71.94
20,11/17/23 06:00:00 AM,384.5,389.9,71.92
21,11/17/23 07:00:00 AM,384.5,389.9,71.92
22,11/17/23 08:00:00 AM,384.3,389.9,71.92
23,11/17/23 09:00:00 AM,384.7,390.3,72.07
24,11/17/23 10:00:00 AM,385.1,391.0,72.23
25,11/17/23 11:00:00 AM,385.3,391.0,72.28
26,11/17/23 12:00:00 PM,385.4,391.3,72.27
27,11/17/23 01:00:00 PM,386.1,391.7,72.43
28,11/17/23 02:00:00 PM,386.3,392.0,72.50
29,11/17/23 03:00:00 PM,386.5,392.4,72.55
30,11/17/23 04:00:00 PM,386.3,392.0,72.45
31,11/17/23 05:00:00 PM,385.8,391.3,72.28
32,11/17/23 06:00:00 PM,385.8,391.7,72.21
33,11/17/23 07:00:00 PM,385.5,391.4,72.12
34,11/17/23 08:00:00 PM,385.4,391.4,72.10
35,11/17/23 09:00:00 PM,385.2,391.4,72.09
36,11/17/23 10:00:00 PM,385.3,391.0,72.09
37,11/17/23 11:00:00 PM,385.4,391.0,72.09
38,11/18/23 12:00:00 AM,385.2,391.0,72.07
39,11/18/23 01:00:00 AM,385.3,391.0,72.07
40,11/18/23 02:00:00 AM,385.3,391.0,72.07
41,11/18/23 03:00:00 AM,385.2,391.0,72.03
42,11/18/23 04:00:00 AM,384.8,390.7,71.98
43,11/18/23 05:00:00 AM,384.6,390.3,71.92
44,11/18/23 06:00:00 AM,384.8,390.3,71.96
45,11/18/23 07:00:00 AM,384.7,390.3,71.98
46,11/18/23 08:00:00 AM,385.0,391.0,72.01
47,11/18/23 09:00:00 AM,385.4,391.4,72.21
48,11/18/23 10:00:00 AM,386.1,392.0,72.43
49,11/18/23 11:00:00 AM,388.3,394.2,72.90
50,11/18/23 12:00:00 PM,389.6,396.0,73.04
