"Plot Title: Ichetucknee_SpC"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21415360, SEN S/N: 21415360)","Temp, °F (LGR S/N: 21415360, SEN S/N: 21415360)"
1,11/30/23 01:00:00 PM,319.1,71.74
2,11/30/23 02:00:00 PM,321.8,71.74
3,11/30/23 03:00:00 PM,322.9,72.19
4,11/30/23 04:00:00 PM,324.4,72.57
5,11/30/23 05:00:00 PM,326.2,72.93
6,11/30/23 06:00:00 PM,328.1,73.17
7,11/30/23 07:00:00 PM,328.9,73.11
8,11/30/23 08:00:00 PM,329.3,72.93
9,11/30/23 09:00:00 PM,329.7,72.70
10,11/30/23 10:00:00 PM,329.8,72.37
11,11/30/23 11:00:00 PM,329.5,72.09
12,12/01/23 12:00:00 AM,328.7,71.87
13,12/01/23 01:00:00 AM,328.4,71.76
14,12/01/23 02:00:00 AM,328.0,71.64
15,12/01/23 03:00:00 AM,327.6,71.62
16,12/01/23 04:00:00 AM,327.6,71.58
17,12/01/23 05:00:00 AM,327.3,71.53
18,12/01/23 06:00:00 AM,327.6,71.55
19,12/01/23 07:00:00 AM,327.6,71.53
20,12/01/23 08:00:00 AM,327.3,71.55
21,12/01/23 09:00:00 AM,327.6,71.69
22,12/01/23 10:00:00 AM,329.1,72.05
23,12/01/23 11:00:00 AM,330.9,72.63
24,12/01/23 12:00:00 PM,332.0,72.95
25,12/01/23 01:00:00 PM,332.7,73.33
26,12/01/23 02:00:00 PM,333.4,73.58
27,12/01/23 03:00:00 PM,334.5,74.03
28,12/01/23 04:00:00 PM,335.2,74.28
29,12/01/23 05:00:00 PM,336.8,74.48
30,12/01/23 06:00:00 PM,337.5,74.50
31,12/01/23 07:00:00 PM,337.6,74.35
32,12/01/23 08:00:00 PM,337.2,74.17
33,12/01/23 09:00:00 PM,336.5,73.90
34,12/01/23 10:00:00 PM,335.4,73.58
35,12/01/23 11:00:00 PM,335.1,73.29
36,12/02/23 12:00:00 AM,334.3,73.09
37,12/02/23 01:00:00 AM,334.0,72.95
38,12/02/23 02:00:00 AM,333.6,72.86
39,12/02/23 03:00:00 AM,333.6,72.82
40,12/02/23 04:00:00 AM,333.6,72.79
41,12/02/23 05:00:00 AM,333.6,72.75
42,12/02/23 06:00:00 AM,333.2,72.75
43,12/02/23 07:00:00 AM,333.2,72.73
44,12/02/23 08:00:00 AM,333.2,72.75
45,12/02/23 09:00:00 AM,333.2,72.82
46,12/02/23 10:00:00 AM,333.6,72.93
47,12/02/23 11:00:00 AM,333.5,73.08
48,12/02/23 12:00:00 PM,333.9,73.27
49,12/02/23 01:00:00 PM,334.6,73.42
50,12/02/23 02:00:00 PM,335.0,73.54
51,12/02/23 03:00:00 PM,335.3,73.76
52,12/02/23 04:00:00 PM,336.1,73.87
53,12/02/23 05:00:00 PM,338.4,73.92
54,12/02/23 06:00:00 PM,336.9,73.90
55,12/02/23 07:00:00 PM,336.9,73.87
56,12/02/23 08:00:00 PM,335.7,73.81
57,12/02/23 09:00:00 PM,330.7,73.67
58,12/02/23 10:00:00 PM,333.5,73.54
59,12/02/23 11:00:00 PM,333.9,73.44
60,12/03/23 12:00:00 AM,334.3,73.36
61,12/03/23 01:00:00 AM,333.9,73.33
62,12/03/23 02:00:00 AM,332.7,73.29
63,12/03/23 03:00:00 AM,332.7,73.27
64,12/03/23 04:00:00 AM,334.7,73.33
65,12/03/23 05:00:00 AM,336.6,73.40
66,12/03/23 06:00:00 AM,336.2,73.40
67,12/03/23 07:00:00 AM,337.0,73.36
68,12/03/23 08:00:00 AM,337.0,73.36
69,12/03/23 09:00:00 AM,337.0,73.44
70,12/03/23 10:00:00 AM,336.9,73.62
71,12/03/23 11:00:00 AM,333.8,73.54
72,12/03/23 12:00:00 PM,334.6,73.54
73,12/03/23 01:00:00 PM,336.5,73.54
74,12/03/23 02:00:00 PM,337.7,73.65
75,12/03/23 03:00:00 PM,338.1,73.76
76,12/03/23 04:00:00 PM,338.0,73.83
77,12/03/23 05:00:00 PM,337.7,73.78
78,12/03/23 06:00:00 PM,338.5,73.69
79,12/03/23 07:00:00 PM,338.5,73.62
80,12/03/23 08:00:00 PM,338.5,73.54
81,12/03/23 09:00:00 PM,339.3,73.51
82,12/03/23 10:00:00 PM,338.9,73.45
83,12/03/23 11:00:00 PM,338.5,73.36
84,12/04/23 12:00:00 AM,338.5,73.29
85,12/04/23 01:00:00 AM,338.2,73.24
86,12/04/23 02:00:00 AM,338.2,73.24
87,12/04/23 03:00:00 AM,337.4,73.24
88,12/04/23 04:00:00 AM,337.0,73.24
89,12/04/23 05:00:00 AM,336.6,73.26
90,12/04/23 06:00:00 AM,336.6,73.26
91,12/04/23 07:00:00 AM,336.6,73.24
92,12/04/23 08:00:00 AM,337.8,73.24
93,12/04/23 09:00:00 AM,336.2,73.26
94,12/04/23 10:00:00 AM,336.2,73.33
95,12/04/23 11:00:00 AM,336.2,73.51
96,12/04/23 12:00:00 PM,336.1,73.65
97,12/04/23 01:00:00 PM,336.1,73.76
98,12/04/23 02:00:00 PM,336.1,73.90
99,12/04/23 03:00:00 PM,336.1,73.87
100,12/04/23 04:00:00 PM,335.3,73.83
101,12/04/23 05:00:00 PM,335.3,73.76
102,12/04/23 06:00:00 PM,335.0,73.58
103,12/04/23 07:00:00 PM,334.6,73.42
104,12/04/23 08:00:00 PM,333.9,73.15
105,12/04/23 09:00:00 PM,333.2,72.79
106,12/04/23 10:00:00 PM,332.1,72.45
107,12/04/23 11:00:00 PM,331.4,72.16
108,12/05/23 12:00:00 AM,330.3,71.87
109,12/05/23 01:00:00 AM,330.3,71.71
110,12/05/23 02:00:00 AM,329.2,71.60
