ID,flood,recess.intercept,recess.slope,duration,rise.intercept,rise.slope,Date,minimum,base,first_recovery,floodpeak,recovey_period,variable,recession.days,rise.day
AM,1,17.65963297992734,0.13928292336583079,26,2.507557653432027,0.2624410630686985,2022-09-13T00:00:00Z,0,11.960639276395673,2022-07-15,2022-09-25,72,GPP,-40.916672093125804,36.01982674673565
AM,2,1.5837889967769867,0.952071040650732,26,0.14911985429749944,-0.2116664852388188,2023-02-25T00:00:00Z,0,12.471933317948729,2023-01-25,2023-02-27,33,GPP,11.436272984135504,-58.21806626470723
AM,3,-6.554529149441123,1.6508603160635138,33,-6.636714407874726,-2.367043962423155,2023-06-22T00:00:00Z,0,26.277282851918507,2023-05-28,2023-06-28,31,GPP,19.887698360602233,-13.905106023505793
AM,4,2.4613633449511063,1.050883616105627,25,5.145877855754972,-2.276059907568268,2023-09-06T00:00:00Z,2.854679394376187,26.660000670454824,2023-08-14,2023-09-06,23,GPP,23.02694318822785,-9.452353491734513
AM,5,0.4733478601519129,0.4207436115146389,42,0.5343709047677897,-0.15832129411127038,2024-01-02T00:00:00Z,0,15.44931417968412,2023-11-30,2024-01-17,48,GPP,35.59404328355714,-94.20680495722769
AM,6,1.2138172914845078,0.03491674553463707,24,0.8348906406378559,0.059304965689724716,2024-06-11T00:00:00Z,0,NA,Inf,2024-06-11,-Inf,GPP,NA,NA
AM,7,3.9129582791184383,-0.14208934380645996,12,NA,NA,2024-07-10T00:00:00Z,2.1768099507847016,NA,Inf,2024-07-10,-Inf,GPP,NA,NA
GB,1,1.7179312579513781,0.02850241475932623,35,-0.5217108125811294,-0.5383775013858475,2022-09-10T00:00:00Z,1.1428992401300269,16.204288077466348,2022-08-17,2022-09-10,24,GPP,508.25015851595214,-31.06741802358526
GB,2,3.7750298888560727,0.21690347587126313,19,1.1883332212875988,-0.21586495253762952,2023-09-10T00:00:00Z,0.06465673271163297,14.998348067899311,2023-07-06,2023-09-10,66,GPP,51.74337632885385,-63.97525250980404
ID,2,1.931027519716534,0.9907371917473654,44,7.152762100926873,-0.440009457275299,2023-02-21T00:00:00Z,2.669509682698332,11.739678469840541,2022-11-07,2023-02-21,106,GPP,9.900356049846547,-10.424585865307414
ID,3,4.415773242631143,0.2887588365589013,49,8.630543075672673,-0.3698217932082814,2023-06-21T00:00:00Z,0.12467154237558732,11.134761978440213,2023-06-07,2023-06-21,14,GPP,23.268512977397748,-6.77142058352732
ID,4,1.0616701906116681,0.2719278061815864,25,1.037357769397995,NA,2024-01-16T00:00:00Z,0.2624478202330814,8.155807067530874,2023-12-01,2024-01-16,46,GPP,26.088309895685782,NA
ID,5,2.765003374434645,0.3853806355720059,31,1.2476358017756166,-0.18122522574335273,2024-04-03T00:00:00Z,0.3397048749018432,NA,Inf,2024-04-03,-Inf,GPP,NA,NA
ID,6,0.18725354279517614,0.25764616354601455,21,4.512597433353889,-0.39099547909166854,2024-06-08T00:00:00Z,0,NA,Inf,2024-06-08,-Inf,GPP,NA,NA
LF,1,10.556287519163371,0.9020049696551591,15,NA,NA,2022-09-25T00:00:00Z,6.551827961523855,13.519575216215669,2022-07-12,2022-09-25,75,GPP,3.2852232490306315,NA
LF,2,25.513224600039095,0.6178973340272519,44,18.812441606988195,-0.16117665671126727,2023-03-18T00:00:00Z,1.0873359533781777,24.281392186408794,2023-01-25,2023-03-18,52,GPP,-1.993587519793331,-33.931406017545754
LF,3,8.709209184518807,1.9749637817817036,28,2.492093774503603,-0.9231375687919412,2023-07-07T00:00:00Z,2.0437409391736474,27.31281386006723,2023-06-07,2023-07-07,30,GPP,9.419719413165783,-26.887346940115464
LF,5,1.901771672736571,0.22420217440588083,19,3.339077200248502,0.18720704085121725,2024-01-16T00:00:00Z,0,16.073964486674953,2023-12-03,2024-01-16,44,GPP,63.211665326144335,68.02568551119559
LF,6,3.724128576700114,NA,9,0.2599747782189711,-0.2058679489634783,2024-06-02T00:00:00Z,0,8.027624145248474,2022-04-14,2024-06-06,784,GPP,NA,-37.73122239833221
OS,1,-2.678002527680201,4.406730491948185,14,1.9574466055151338,-0.029603252083570602,2022-09-25T00:00:00Z,1.3044600680231788,NA,Inf,2022-09-25,-Inf,GPP,NA,NA
OS,2,2.1182898494383595,-0.06649282204482072,18,3.1516979891371717,0.2041525170426196,2023-02-22T00:00:00Z,0.41459931109457776,4.737674471303801,2023-02-16,2023-02-22,6,GPP,-39.39349453539205,7.76858647221839
OS,3,0.28902013097615775,0.31306022798184485,30,2.1675077461390146,0.01718082130431107,2023-07-10T00:00:00Z,0.8560803004457151,4.121338010064937,2023-07-21,2023-07-10,-11,GPP,12.241471565372478,113.72158695554681
OS,4,2.194793192044876,-0.032004849619365686,40,0.7415619517329709,-0.07758523735851733,2024-01-30T00:00:00Z,0.45819528677429,2.8266594514907615,2023-11-27,2024-01-30,64,GPP,-19.7428285700662,-26.87492583315385
OS,5,0.8815187995838343,0.3347169299414988,13,1.279696278207371,NA,2024-03-19T00:00:00Z,0.40946789243942067,NA,Inf,2024-03-19,-Inf,GPP,NA,NA
LF,4,NA,NA,17,21.79227230185668,-0.4128116779510728,2023-09-15T00:00:00Z,7.54156363963784,24.744978782267314,2023-08-25,2023-09-15,21,GPP,NA,-7.1526718795019
IU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPP,NA,NA
IU,6,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,GPP,NA,NA
AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,2024-07-08,-Inf,GPP,NA,NA
GB,7,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,GPP,NA,NA
